token,count
飘,11705
偶,11703
回头,11699
蹭,11670
网,11660
酷,11646
没错,11627
曾经,11623
就算,11622
惹,11618
司机,11599
骑,11596
作为,11561
顺便,11552
直,11546
紧,11534
恐怖,11528
没用,11494
刘海,11483
单,11479
全部,11478
工资,11478
渣,11474
偷偷,11467
孤独,11435
北方,11384
噗,11375
删,11359
作,11355
能力,11349
替,11325
事实,11302
小说,11270
九,11245
同事,11240
理由,11226
旅行,11211
皮,11204
喽,11203
算是,11192
音乐,11179
地铁,11178
和谐,11176
不知,11169
很快,11167
做饭,11165
吵,11160
烤,11125
紧张,11114
保持,11099
电,11065
目前,11060
温暖,11053
游,11053
卷,11041
控制,11026
牌子,11014
演技,10958
水果,10952
早餐,10951
妹,10942
奇怪,10936
刚好,10931
女孩子,10922
半夜,10887
蛋,10873
冲,10868
上面,10865
干净,10848
帅气,10843
未,10833
任何,10821
茶,10816
土,10809
提醒,10807
体重,10787
电视剧,10768
改变,10750
成为,10739
碎,10734
黑色,10733
不少,10723
重新,10717
还好,10713
好运,10698
论文,10695
捞,10682
娃,10674
怀念,10673
一辈子,10672
刚才,10636
随时,10632
爱国,10613
锻炼,10598
难得,10590
空,10577
保护,10572
友,10565
捡,10560
伤害,10556
的确,10545
叔叔,10533
一生,10531
一点点,10512
鸟,10492
帽子,10487
亮,10451
类,10439
散,10423
学长,10420
承认,10404
拔,10388
会员,10369
拖,10366
臭,10354
级,10353
地址,10315
习惯,10297
眉毛,10295
意义,10268
圆,10231
节,10226
想象,10217
风格,10214
一会,10214
其,10211
代,10203
互相,10198
免费,10196
必,10192
位置,10187
大叔,10187
实话,10185
哇塞,10183
证明,10173
出差,10164
演员,10128
上午,10123
老子,10114
表达,10104
捏,10101
哎呦,10097
吸,10086
道,10086
万,10082
跟着,10078
气质,10050
环境,10042
扔,10032
年龄,10020
运气,10009
疯狂,10001
语,10001
满足,9996
安排,9989
鞋子,9987
没法,9986
考研,9977
下面,9975
富强,9957
巧,9955
染,9950
点儿,9934
必要,9930
将,9929
第三,9911
家人,9906
美食,9899
文化,9883
取,9882
反应,9876
早日,9875
日常,9875
计划,9874
友善,9864
软件,9844
趟,9815
晚饭,9802
速度,9798
救,9792
坐等,9782
附近,9779
学期,9746
做到,9736
虾,9717
麻将,9715
化妆,9712
长发,9696
健身,9683
省,9681
角度,9674
骄傲,9665
签,9662
对方,9654
使,9648
反,9633
代表,9625
口味,9624
恋,9618
为何,9615
遇,9603
既然,9602
属于,9595
好奇,9588
好人,9568
盖,9565
嘞,9542
身高,9528
细,9520
生命,9518
彼此,9514
肿么,9514
过分,9508
烫,9498
赚,9490
呃,9488
收拾,9481
生病,9466
原,9466
台,9466
挤,9463
剩,9459
拥有,9435
山,9434
随,9429
刀,9415
少年,9411
对于,9404
据说,9401
恭喜恭喜,9394
幸运,9388
砸,9387
自信,9387
指,9364
小朋友,9360
鸡蛋,9358
懒得,9353
红色,9341
舍不得,9339
价格,9336
王者,9335
佩服,9328
任性,9321
有意思,9317
什么样,9316
开玩笑,9315
通知,9304
单位,9293
诗,9289
欠,9279
回到,9272
一百,9246
贼,9244
零食,9242
奶奶,9225
潇洒,9222
艾特,9220
断,9218
方法,9215
成熟,9194
比如,9190
勇气,9187
知,9187
波,9183
命,9180
依然,9153
脱,9152
本人,9140
千万,9136
做好,9133
吃吃,9124
赚钱,9111
星,9091
胃,9082
不客气,9081
故意,9073
硬,9067
时光,9065
摆,9042
二十,9031
小学,9027
羊,9026
记住,9021
具体,9021
娶,9005
血,9005
特,9000
期,8991
遗憾,8985
食堂,8983
主动,8975
咧,8963
怀疑,8952
坚强,8944
或,8931
扎,8917
啦啦,8907
偶像,8896
词,8889
等等,8869
空气,8863
这话,8858
这儿,8854
扎心,8854
奶,8848
闭,8835
风景,8835
弱,8833
憋,8830
老大,8811
等到,8800
唯一,8782
真实,8778
根,8745
着急,8715
脸上,8714
好滴,8706
男友,8703
元,8692
半天,8676
冰,8676
狠,8654
失望,8642
催,8634
委屈,8633
推,8629
体验,8620
暂时,8613
准,8600
海,8599
失恋,8584
哦哦,8581
蚊子,8576
撞,8575
酒店,8572
相机,8563
鸡,8560
白色,8554
座,8552
西瓜,8541
韩国,8512
不对,8511
来来来,8500
国庆,8482
师傅,8482
爱上,8473
偶遇,8454
存,8454
秋,8451
深深,8444
嫌,8439
寒假,8429
题,8385
打开,8382
笔,8381
秀恩,8376
面试,8350
等待,8342
拆,8333
新闻,8330
送给,8323
圣诞,8316
中间,8315
广东,8314
常,8311
懂得,8303
门口,8302
周六,8299
当年,8297
转发,8293
忍不住,8289
层,8285
说不定,8284
国内,8263
博,8256
汉子,8242
大佬,8241
订,8236
迟到,8228
跪,8226
露,8224
当初,8222
