token,count
奶奶,8676
城,8676
值得,8675
吻,8669
教育,8665
获得,8665
早上,8664
滚,8662
有时候,8661
偷,8656
掏,8643
通,8632
忍不住,8629
全身,8619
瞪,8616
熟悉,8607
窗户,8607
底下,8604
作者,8596
足,8588
细,8586
极了,8562
安慰,8560
回忆,8538
报告,8536
凭,8535
同学,8531
白色,8529
逼,8525
讨厌,8520
经历,8518
且,8490
沿着,8489
架,8470
恐惧,8468
必要,8466
今日,8460
夜里,8456
故意,8444
上海,8444
撞,8429
累,8427
扇,8425
雪,8424
学习,8406
一旦,8403
情绪,8400
等等,8395
吸,8385
强烈,8380
走过,8374
差,8374
加上,8366
幅,8359
圈,8354
一点儿,8352
三十,8352
实际上,8351
大约,8347
工人,8344
称,8340
垂,8338
使用,8329
小心,8329
花园,8319
这次,8315
大夫,8302
嫁,8282
英雄,8281
就算,8272
种种,8263
九,8250
面对,8248
草,8248
交,8247
须,8221
代,8216
办公室,8211
左右,8209
碰,8209
俺,8204
代表,8198
浑身,8180
掌,8179
照片,8174
铺,8174
向前,8172
根据,8163
如同,8162
合,8136
答道,8133
舒服,8131
模样,8128
老太太,8119
桌上,8117
词,8101
脑子,8091
自从,8087
困难,8078
握,8071
城里,8070
奔,8070
皇帝,8066
深深,8051
搭,8044
随后,8035
对面,8027
土地,8023
往往,8021
完成,8012
并非,8012
彼此,8012
背后,8003
满意,7997
最近,7996
绿,7990
男子,7985
归,7958
饿,7949
任何人,7948
运动,7945
天气,7944
包括,7941
反,7930
扶,7915
手上,7914
鸟,7912
哥,7911
提到,7891
动物,7873
解决,7859
心灵,7854
眼光,7845
者,7841
严肃,7837
颇,7837
试,7833
笑容,7827
男孩,7822
醉,7822
麻烦,7820
宗教,7819
养,7810
口袋,7790
客厅,7783
丝,7781
满足,7764
等到,7758
记忆,7756
约,7755
夫妇,7748
再次,7747
关心,7746
观察,7736
头脑,7732
现实,7726
灯光,7716
责任,7715
著,7712
领导,7708
意,7703
东,7701
菜,7699
真实,7697
人群,7692
猪,7690
忽,7665
劝,7663
胡子,7663
老爷,7663
以下,7649
扯,7647
仅仅,7640
害,7636
愤怒,7634
按照,7630
小小的,7626
街,7619
河,7617
本身,7616
来自,7612
黑色,7598
毕竟,7594
曰,7590
夹,7588
沉重,7581
结,7580
没什么,7578
印象,7573
罢了,7564
温柔,7549
正好,7547
较,7540
骑士,7529
看上去,7525
认真,7524
知识,7501
踏,7500
和尚,7499
系,7489
以来,7480
某,7476
弯,7470
小伙子,7466
感谢,7460
