部件	codepoint	票数	jd1	jd93首末	moqi首末	hu首末	首末合计
龹	U+9FB9	1.0			8		8
卯	U+536F	1.0				8	8
乐	U+4E50	1.0			8		8
尹	U+5C39	1.0			8		8
鼠	U+9F20	1.0				8	8
午	U+5348	1.0			8		8
赤	U+8D64	1.0			8		8
凶	U+51F6	1.0			8		8
东	U+4E1C	1.0			7		7
豖	U+8C56	1.0			7		7
入	U+5165	1.0		3	(2)	(2)	7
	U+E079	1.0		7			7
凡	U+51E1	1.0			7		7
㡀	U+3840	1.0				7	7
	U+E497	1.0				7	7
永	U+6C38	1.0			7		7
𰃮	U+300EE	1.0			7		7
	U+E44D	1.0				7	7
才	U+624D	1.0			7		7
	U+E4BD	1.0				7	7
𡗗	U+215D7	1.0			7		7
	U+E48B	1.0				7	7
禹	U+79B9	1.0			7		7
龷	U+9FB7	1.0				7	7
成	U+6210	1.0			7		7
求	U+6C42	1.0			7		7
𠫔	U+20AD4	1.0			7		7
丕	U+4E15	1.0			7		7
𠃊	U+200CA	1.0			6		6
丘	U+4E18	1.0			6		6
	U+E498	1.0				6	6
屮	U+5C6E	1.0			(1)	5	6
肀	U+8080	1.0			4	(2)	6
丆	U+4E06	1.0			6		6
专	U+4E13	1.0			6		6
匀	U+5300	1.0			6		6
乎	U+4E4E	1.0			6		6
𦣞	U+268DE	1.0			6		6
太	U+592A	1.0			6		6
	U+E472	1.0				6	6
	U+E455	1.0				6	6
朿	U+673F	1.0			6		6
刃	U+5203	1.0			6		6
𠄌	U+2010C	1.0			5		5
采	U+91C7	1.0			5		5
亚	U+4E9A	1.0			5		5
	U+E41C	1.0				5	5
𦥑	U+26951	1.0			5		5
串	U+4E32	1.0			5		5
尺	U+5C3A	1.0			5		5
壴	U+58F4	1.0				5	5
黾	U+9EFE	1.0				5	5
丸	U+4E38	1.0			5		5
夷	U+5937	1.0			5		5
	U+E441	1.0				5	5
𠤎	U+2090E	1.0			5		5
亅	U+4E85	1.0			5		5
ス	U+30B9	1.0				5	5
㝉	U+3749	1.0			5		5
世	U+4E16	1.0			5		5
𰆊	U+3018A	1.0			5		5
上	U+4E0A	1.0			5		5
𠃍	U+200CD	1.0			5		5
𰀉	U+30009	1.0			5		5
	U+E82D	1.0				5	5
曲	U+66F2	1.0			(2)	3	5
叉	U+53C9	1.0			5		5
本	U+672C	1.0			5		5
术	U+672F	1.0			5		5
韭	U+97ED	1.0			5		5
久	U+4E45	1.0			5		5
	U+E4D0	1.0				5	5
	U+E4A9	1.0				5	5
𡭔	U+21B54	1.0				4	4
	U+E422	1.0				4	4
	U+E462	1.0				4	4
	U+E495	1.0				4	4
北	U+5317	1.0			4		4
	U+E46F	1.0				4	4
丝	U+4E1D	1.0		3	(1)		4
𢎥	U+223A5	1.0			4		4
丹	U+4E39	1.0			4		4
	U+E42C	1.0				4	4
	U+E580	1.0				4	4
	U+E4C2	1.0				4	4
勾	U+52FE	1.0			4		4
屰	U+5C70	1.0			4		4
畺	U+757A	1.0			4		4
𠃜	U+200DC	1.0			4		4
乏	U+4E4F	1.0			4		4
𣥂	U+23942	1.0			4		4
重	U+91CD	1.0			4		4
象	U+8C61	1.0				4	4
义	U+4E49	1.0			4		4
斥	U+65A5	1.0			4		4
肉	U+8089	1.0			4		4
	U+E4C7	1.0				4	4
	U+E00C	1.0		4			4
𠂎	U+2008E	1.0			3		3
	U+E408	1.0				3	3
么	U+4E48	1.0			3		3
𫠣	U+2B823	1.0			3		3
攴	U+6534	1.0				3	3
	U+E4B5	1.0				3	3
	U+E459	1.0				3	3
	U+E452	1.0				3	3
戉	U+6209	1.0				3	3
	U+E4BC	1.0				3	3
	U+E03F	1.0		3			3
	U+E429	1.0				3	3
	U+E56B	1.0				3	3
	U+E4B4	1.0				3	3
𰀂	U+30002	1.0			3		3
兰	U+5170	1.0			3		3
	U+E4E4	1.0				3	3
𦣻	U+268FB	1.0			3		3
	U+E0C1	1.0		3			3
㇒	U+31D2	1.0				3	3
㇈	U+31C8	1.0			3		3
	U+E48A	1.0				3	3
㇉	U+31C9	1.0			3		3
办	U+529E	1.0			3		3
𫠠	U+2B820	1.0			3		3
	U+E417	1.0				3	3
	U+E402	1.0				3	3
下	U+4E0B	1.0			3		3
𱼀	U+31F00	1.0			3		3
𭕄	U+2D544	1.0			3		3
	U+E479	1.0				3	3
	U+E42D	1.0	主				0
	U+E820	1.0	主				0
	U+E0BC	1.0	主				0
肖	U+8096	1.0	主				0
固	U+56FA	1.0	主				0
龵	U+9FB5	0.5	附		(2)	(2)	4
已	U+5DF2	0.5	附	(1)		(1)	2
	U+E050	0.5	附	(1)			1
	U+E432	0.5	附			(1)	1
	U+E988	0.5	附				0
	U+E0C9	0.5	附				0
	U+E437	0.5	附				0
	U+E029	0.5	附				0
	U+E0ED	0.5	附				0
	U+E02A	0.5	附				0
	U+E08C	0.5	附				0
	U+E03E	0.5	附				0
	U+E43F	0.5	附				0
	U+E07F	0.5	附				0
	U+E020	0.5	附				0
