音节	字数	常用字数(前3500)	总频	前12字
rv	9	5	825769	瑞锐睿蕊芮蕤蚋汭枘
rj	8	4	1473903	然染燃冉髯苒蚺䎃
ns	8	5	1142526	农弄浓脓侬哝秾𬪩
ro	8	2	1067937	若弱偌箬婼蒻鄀爇
il	8	6	1752406	创床窗闯幢疮怆噇
za	8	4	751288	扎杂砸咋匝咂拶臜
qx	8	4	2119353	卡恰掐洽髂葜袷拤
io	8	1	117736	戳绰辍啜龊踔惙逴
se	8	4	1581058	色塞瑟涩铯啬穑璱
wg	8	1	111622	翁嗡瓮鹟蕹蓊滃𬭩
zh	8	4	691160	藏脏葬臧赃奘牂驵
sy	8	4	978024	孙损笋隼荪榫飧狲
cr	8	2	113402	攒窜蹿篡汆爨撺镩
sj	7	3	4214794	三散伞叁糁馓毵
ch	7	5	864396	藏仓舱苍沧伧鸧
kx	7	3	427151	跨夸垮胯挎侉姱
dv	7	5	16673284	对队堆兑怼碓祋
lg	7	4	668842	冷棱愣楞崚堎塄
zv	7	5	8959283	最嘴罪醉咀蕞槜
tr	7	1	866059	团湍疃抟彖猯煓
rz	7	3	1418798	肉柔揉鞣蹂糅𫐓
gy	7	2	174151	滚棍衮辊鲧绲磙
sh	6	2	252180	桑丧嗓搡颡磉
gf	6	3	3764170	跟根艮亘哏茛
ce	6	5	1266887	测策侧册厕恻
vy	6	1	740399	准肫谆窀衠𬘯
bp	6	2	1666060	别憋瘪鳖蹩癿
ka	6	4	2184934	卡咯咖喀咔胩
de	6	4	106541569	的地得德嘚锝
nh	6	1	95310	囊馕囔曩攮齉
hk	6	5	833227	坏怀淮槐踝徊
rc	6	3	293621	绕扰饶桡娆荛
cy	6	4	2252162	村存寸邨皴忖
uk	6	5	2121115	率帅摔衰甩蟀
uv	6	5	17734349	说水谁睡税帨
lt	5	2	504871	略掠锊圙䂮
gk	5	3	440602	怪拐乖掴夬
mp	5	2	200057	灭咩乜蔑篾
tz	5	4	3098169	头投透偷骰
aa	5	4	6210582	啊阿腌吖锕
uy	5	3	450340	顺瞬舜吮楯
kf	5	2	317041	肯啃垦恳裉
cg	5	3	2577121	曾层蹭噌嶒
sd	5	3	1689143	赛塞鳃腮噻
