音节	字数	已用位	空位	得分	音节总频	理想前k未获简码字
zo	20	15	12	98.0	13064019	佐25 嘬0 岞0 捽0
dc	20	15	12	97.2	20058658	刀40 盗14 祷0 忉0 捯0 舠0
gc	20	14	13	98.1	8523923	膏12 皋1 郜1 锆0 槔0 筶0
tm	20	11	16	99.0	5032867	舔4 湉0 阗0 畋0 瑱0 殄0 沺0 掭0 淟0
is	19	16	11	100.0	4147149	忡0 漴0 㳘0
dk	19	14	13	83.1	3462451	丁48 盯8 锭0 啶0 耵0
rf	19	10	17	99.7	24838501	刃5 妊0 稔0 衽0 仞0 葚0 讱0 纴0
fh	19	15	12	99.7	7466256	妨1 鲂0 钫0 邡0
hz	19	13	14	97.7	11978682	侯22 喉5 骺0 垕0 糇0 郈0
wo	19	13	14	99.9	41868998	倭1 渥0 挝0 偓0 踒0
ua	19	14	13	96.4	2567328	砂9 裟0 嗄0 唼0
zc	19	13	14	91.7	2373297	枣6 糟6 灶4 皂3 唣0 𥖨0
dp	19	14	13	97.9	861193	谍1 耋0 垤0 瓞0 蹀0
so	19	10	17	99.9	5877610	唆0 蓑0 唢0 挲0 桫0 嗍0 葰0 溹0
ss	18	11	16	97.8	2605337	诵2 讼2 耸0 崧0 竦0 忪0 娀0
gh	18	15	12	100.0	3172136	筻0 㭎0 鿍0
vs	18	13	14	99.8	27046186	盅2 衷2 锺0 螽0
np	18	11	16	97.7	340409	颞0 镊0 蘖0 嗫0 菍0 糵0 陧0
kj	18	12	15	99.4	9904273	堪5 阚0 戡0 墈0 嵁0
bh	18	14	13	89.7	2608676	榜26 梆0 玤0
kl	18	14	13	99.9	861179	诓0 夼0 纩0 𫛭0
pj	18	12	15	97.7	1983017	叛1 磐1 泮0 槃0 爿0 襻0
dy	18	13	14	99.2	1385427	遁1 镦0 砘0 礅0 蹾0
mb	18	15	12	96.3	1553551	闽5 湣0 鳘0
lp	17	13	14	83.7	1072345	烈17 捩0 趔0 䴕0
