㑇	亻 ⺈ 彐
剖	立 口 刂
剜	宀 夕 ⺋ 刂
剞	大 可 刂
剟	又 又 又 又 刂
剡	火 火 刂
剥	 2 冫 ㇒ 4 刂
剧	尸 古 刂
剩	千  匕 𠆢 刂
剪	丷 1  刂 刀
副	1 口 田 刂
割	宀 丰 口 刂
剽	覀 二 小 刂
剿	巛 日 木 刂
劁	亻 亠 龶 灬 刂
劂	厂 丷 1 6 2 3 ⺈ 人 刂
劄	⺮ 𠆢 1 口 刂
劈	尸 口 辛 刀
劐	艹 亻 亠 龶 又 刂
劓	自 田 1 3 2 刂
力	力
劝	又 力
办	力 ㇏ ㇏
功	工 力
加	力 口
务	夂 力
劢	1 5 3 力
劣	2 八 3 力
动	二 厶 力
助	且 力
努	女 又 力
劫	土 厶 力
劬	句 力
劭	刀 口 力
励	厉 力
劲	5 ㇏ 工 力
劳	艹 冖 力
劼	士 口 力
劾	亠 6 3 人 力
势	扌 3 ㇈ ㇏ 力
勃	十 冖 子 力
勇	龴  力
勉	⺈ 口 儿 力
勋	口 贝 力
勍	亠 口 小 力
勐	子 皿 力
勒	廿 口 十 力
勔	1 3 罒 二 力
勖	冂 二 目 力
勘	 八 6 力
勚	廿 6 贝 力
募	艹 日 大 力
勠	习 习 𠆢 ㇒ ㇒ ㇒ 力
勤	廿 口 龶 力
勰	力 力 力 田 心
勺	勺
勾	勹 厶
勿	勿
匀	勹 冫
包	勹 巳
匆	勿 4
匈	勹 乂 凵
匍	勹 甫
匏	大 二 5 3 5 巳
匐	勹 1 口 田
匕	匕
化	亻 
北	 匕
匙	日 1 2 1 3 4 匕
匜	匚 也
匝	匚 巾
匠	匚 斤
匡	匚 王
匣	匚 日 2
匦	匚  3 ㇈
匪	匚  1 2 三
匮	匚 口 2 1 贝
匹	匚 儿
区	匚 乂
医	匚 𠂉 大
匼	匚 𠆢 1 口
匾	匚 户 
匿	匚 艹 𠂇 口
十	十
千	千
卅	𠂇 2 2
升	㇒ 𠂇 2
午	𠂉 十
卉	十 𠂇 2
半	丷 𰀁
华	亻  十
协	十 力 ㇏ ㇏
卑	白 3 十
卒	亠 人 人 十
卓	卜 日 十
单	丷 日 十
卖	十 5 氵 人
南	十 冂 丷 干
博	十 甫 寸
卜	卜
卞	亠 卜
卟	口 卜
占	卜 口
卡	2 二 卜
卢	卜 尸
卣	卜 囗 5 1
卤	卜 囗 乂
卦	土 土 卜
卧	匚 2 5 1 2 卜
卫	 1
卬	㇒ 6 卩
