㑇	亻 ⺈ 彐
懵	忄 艹 罒 冖 目
懿	士 冖 1 口 丷 1 冫 ⺈ 人 心
戆	立 日 十 夂 工 贝 心
戈	戈
戊	厂 戈
戋	戋
戌	厂 1 戈
戍	厂 ㇏ 戈
戎	戈 𠂇
戏	又 戈
成	成
我	㇒ 扌 戈
戒	戈 𠂇 2
戕	6 2 1 3 戈
或	戈 口 1
戗	𠆢 ⺋ 戈
战	卜 口 戈
戚	厂 2 二 小 戈
戛	1 自 戈
戟	十 日 十 戈
戡	 八 6 戈
戢	口 耳 戈
戣	5 ㇏ 3 3 ㇏ 1 大 戈
戤	5 3 又 皿 戈
戥	日 3 龶 戈
截	十 戈 亻 亠 龶
戬	1 2 ⺌ 1 日 戈
戭	宀 1 日 2 八 戈
戮	习 习 𠆢 ㇒ ㇒ ㇒ 戈
戳	习 习 亻 亠 龶 戈
戴	十 戈 田 艹 1 八
户	户
戽	户 氵 2
戾	户 犬
房	户 方
所	户 斤
扁	户 
扂	户 2 1 口
扃	户 冂 口
扅	户 夕 夕
扆	户 衣
扇	户 习 习
扈	户 口 巴
扉	户  1 2 三
扊	户 火 火
手	手
才	1 2 3
扎	扌 6
扑	扌 卜
扒	扌 八
打	扌 丁
扔	扌 5 3
托	扌 ㇒ 七
扛	扌 工
扞	扌 干
扣	扌 口
扦	扌 千
执	扌 3 ㇈ ㇏
扩	扌 广
扪	扌 门
扫	扌 彐
扬	扌 𠃓
扭	扌 5 
扮	扌 八 刀
扯	扌 
扰	扌 尤
扳	扌 ㇒ 3 又
扶	扌 夫
批	扌 比
扺	扌 氏
扼	扌 厂 ⺋
扽	扌 1 6 2 6
找	扌 戈
承	了 三 5 ㇒ ㇏
技	扌 十 又
抃	扌 亠 卜
抄	扌 2 八 3
抉	扌 5 大
把	扌 巴
抑	扌 ㇒ 6 卩
抒	扌 予
抓	扌 ㇒ 3 2 ㇏
抔	扌 不
投	扌 殳
抖	扌 氵 2
抗	扌 亠 几
折	扌 斤
抚	扌 二 儿
抛	扌 3 ㇈ 力
抟	扌 专
抠	扌 匚 乂
抡	扌 𠆢 匕
抢	扌 𠆢 ⺋
护	扌 户
报	扌 卩 又
抨	扌 1 丷 十
披	扌 5 3 2 又
抬	扌 厶 口
抱	扌 3 5 巳
抵	扌 氏 ㇏
抹	扌 末
抻	扌 日 2
押	扌 日 2
抽	扌 日 2
抿	扌 民
拂	扌 5 1 5 3 2
拃	扌 𠂉 2 二
拄	扌 亠 土
担	扌 日 1
拆	扌 斤 ㇏
拇	扌 母
拈	扌 2 1 口
拉	扌 立
拊	扌 付
拌	扌 丷 𰀁
拍	扌 白
拎	扌 𠆢 ㇏ 龴
拐	扌 口 力
拒	扌 匚 5 1
拓	扌 石
拔	扌 𠂇 又 ㇏
拖	扌 𠂉 也
拗	扌 6 厶 力
拘	扌 句
拙	扌 出
招	扌 刀 口
拜	龵 1 丰
拟	扌 6 ㇏ 人
拢	扌 𠂇  ㇏
拣	扌 1 6 5 八
拤	扌 2 二 卜
拥	扌 用
拦	扌 丷 1 二
拧	扌 宀 丁
拨	扌 6 八 又
择	扌 又 𰀁
括	扌 千 口
拭	扌 弋 工
拮	扌 士 口
拯	扌 5 水 1
拱	扌 艹 1 八
拳	丷 夫 手
拴	扌 𠆢 王
拶	扌 巛 夕
拷	扌 十 𠂇 丂
拼	扌 丷 1 𠂇 2
拽	扌 日 6 3
拾	扌 𠆢 1 口
拿	𠆢 1 口 手
持	扌 土 寸
挂	扌 土 土
指	扌 匕 日
挈	丰 刀 手
按	扌 宀 女
挎	扌 大 二 5
挑	扌 3 冫 6 ㇒ 4
挓	扌 宀 ㇒ 七
挖	扌 宀 八 ㇈
挚	扌 3 ㇈ ㇏ 手
挛	亠 2 2 八 手
挝	扌 寸 辶
挞	扌 大 辶
挟	扌 1 丷 大
挠	扌 1 6 ㇒ 1 儿
挡	扌 ⺌ 彐
挣	扌 ⺈ 5 二 2
挤	扌 文 3 2
挥	扌 冖 车
挦	扌 彐 寸
挨	扌 厶 𠂉 大
挪	扌 5 二 3 阝
挫	扌 人 人 土
振	扌 厂 二 6 ㇒ ㇏
挲	氵 2 八 3 手
挹	扌 口 巴
挺	扌 千 1 廴
挽	扌 ⺈ 口 儿
捂	扌 五 口
捃	扌 5 二 3 口
捅	扌 龴 
捆	扌 囗 木
捉	扌 足
捋	扌 爫 寸
捌	扌 口 力 刂
捍	扌 日 干
捎	扌 ⺌ 
捏	扌 日 土
捐	扌 口 
捕	扌 甫
捞	扌 艹 冖 力
损	扌 口 贝
捡	扌 𠆢 1 ㇏ 丷 1
换	扌 ⺈ 2 5 大
捣	扌  山
捧	扌 三 人 𰀁
捩	扌 户 犬
捭	扌 白 3 十
据	扌 尸 古
捯	扌 1 厶 土 刂
捶	扌 千 艹 二
捷	扌 1 5 𰀁 1 3 4
捺	扌 大 二 小
捻	扌 𠆢 ㇏ 5 心
捽	扌 亠 人 人 十
掀	扌 斤 ⺈ 人
掂	扌 广 2 1 口
掇	扌 又 又 又 又
授	扌 爫 冖 又
掉	扌 2 1 日 十
掊	扌 立 口
掌	 口 手
掎	扌 大 可
掏	扌 3 5 𠂉 1 山
掐	扌 ⺈ 臼
排	扌  1 2 三
掖	扌 亠 亻 夕 ㇏
掘	扌 尸 出
掞	扌 火 火
掠	扌 亠 口 小
探	扌 冖 八 木
掣	3 二 巾 刂 手
接	扌 立 女
控	扌 宀 八 工
推	扌 亻 亠 龶
掩	扌 大 电
措	扌 艹 1 日
掬	扌 3 5 米
掭	扌 1 大 2 ㇏ ㇏ ㇏
掮	扌 户 
掰	龵 八 刀 手
掳	扌 2 1 5 3 七 力
掴	扌 囗 玉
掷	扌 丷 1 大 阝
掸	扌 丷 日 十
掺	扌 厶 大 彡
掼	扌 6 5 2 1 贝
掾	扌 6 5 豕
揄	扌 𠆢 1  刂
揆	扌 5 ㇏ 3 3 ㇏ 1 大
揉	扌 予 3 木
揍	扌 三 人 1 大
描	扌 艹 田
提	扌 日 1 龰
插	扌 千 臼
揕	扌  八 6
揖	扌 口 耳
揠	扌 匚 日 女
握	扌 尸 至
揣	扌 山 而
揩	扌 1 6 匕 白
揪	扌 千 𠆢 火
揭	扌 日 3 5 人 6
揳	扌 丰 刀 大
援	扌 爫 1 𠂇 又
揶	扌 耳 阝
揸	扌 木 日 1
揽	扌 2 2 𠂉 ㇏ 见
揿	扌 钅 ⺈ 人
搀	扌 ⺈ 口 儿 4 4
搁	扌 门 各
搂	扌 米 女
搅	扌  见
搋	扌 ㇒ 3 2 1 5 3 七 几
搌	扌 尸 艹 1 戈
搏	扌 甫 寸
搐	扌 亠 6 厶 田
搒	扌 亠 丷 冖 方
搓	扌 丷 三 3 工
搔	扌 又 ㇏ 虫
搛	扌 丷 1 5 1 艹 八
搜	扌 臼 2 又
搞	扌 高
搠	扌 丷 1 6 2 3 月
搡	扌 又 又 又 木
搦	扌 5 1 5 冫 5 1 5 冫
搪	扌 广 5 𰀁 口
搬	扌 舟 殳
搭	扌 艹 𠆢 1 口
搴	宀 1 艹 1 八 手
携	扌 亻 亠 龶 5 3
搽	扌 艹 𠆢 1 小
摁	扌 囗 大 心
摄	扌 耳 又 又
摅	扌 2 1 5 3 七 心
摆	扌 罒 土 厶
摇	扌 爫 𠂉 1 山
摈	扌 宀 ㇒ 2 1 2 1 八
摊	扌 又 亻 亠 龶
摏	扌 三 人 臼
摒	扌 尸 丷 1 𠂇 2
摔	扌 亠 6 厶 冫 ㇒ 4 十
摘	扌 亠 丷 冂 古
摛	扌 亠 乂 6 2 冂 厶
摞	扌 田 糸
摧	扌 山 亻 亠 龶
摩	麻 手
摭	扌 广 廿 灬
摴	扌  二 5
摸	扌 艹 日 大
摹	艹 日 大 手
摽	扌 覀 二 小
撂	扌 田 各
撄	扌 贝 贝 女
撅	扌 厂 丷 1 6 2 3 ⺈ 人
撇	扌 丷 巾 八 攵
撑	扌  口 手
撒	扌 艹 1  攵
撕	扌  八 斤
撖	扌 5 耳 攵
撙	扌 丷 西 1 寸
撞	扌 立 日 
撤	扌 亠 厶  攵
撩	扌 大 丷 日 小
撬	扌 毛 毛 毛
播	扌 ㇒ 米 田
撮	扌 日 耳 又
撰	扌 巳 巳 艹 1 八
撵	扌 夫 夫 车
撷	扌 士 口 1 3 贝
撸	扌 鱼 日
撺	扌 宀 八 口 口 2
撼	扌 厂 1 口 戈 心
擀	扌 十 日 十 𠆢 干
擂	扌  田
擅	扌 亠 囗 口 日 1
操	扌 口 口 口 木
擎	艹 句 攵 手
擐	扌 罒 1 口 3 6 ㇒ ㇏
擒	扌 𠆢 亠 乂 6 2 冂 厶
擘	尸 口 辛 手
擞	扌 米 女 攵
擢	扌 习 习 亻 亠 龶
擤	扌 自 田 1 3 2
擦	扌 宀 夕 4 5 ㇏ 二 小
擿	扌 亠 丷 冂 古 辶
攀	木 乂 乂 木 大 手
攉	扌  亻 亠 龶
攒	扌  儿  儿 贝
攘	扌 亠 口 口 1 艹 1 3 6 ㇒ ㇏
攥	扌 𠂉 ㇏ 𠂉 ㇏ 目 大 糸
攫	扌 目 目 亻 亠 龶 又
攮	扌 1 口 2 冖 口 口 1 艹 1 3 6 ㇒ ㇏
支	十 又
收	6 2 攵
攸	亻 2 攵
改	己 攵
攻	工 攵
攽	八 刀 攵
放	方 攵
政	1  攵
故	古 攵
效	亠 八 乂 攵
敉	米 攵
敌	千 口 攵
敏	𠂉 6 5 亠 ㇏ 攵
救	1 2 冫 ㇒ 4 ㇏ 攵
敔	五 口 攵
敕	束 攵
敖	龶 5 3 攵
教	耂 子 攵
敛	𠆢 1 ㇏ 丷 1 攵
敝	丷 巾 八 攵
敞	尚 攵
敢	5 耳 攵
散	艹 1  攵
敦	亠 口 子 攵
敩	 子 攵
敫	白 方 攵
敬	艹 句 攵
数	米 女 攵
敲	高 2 1 又
整	束 攵 1 
敷	甫 方 攵
文	文
斋	文 而
斌	文 1 弋 
斐	 1 2 三 文
斑	王 王 文
斓	文 门 束 丷
斗	氵 2
料	米 氵 2
斛	⺈ 用 氵 2
斜	𠆢 于 八 氵 2
斝	口 口 冖 氵 2
斟	 八 6 氵 2
斠	1 艹 1 冂  氵 2
斡	十 日 十 𠆢 氵 2
斤	斤
斥	斤 ㇏
斧	八 乂 斤
斩	 斤
斫	石 斤
断	米 6 斤
斯	 八 斤
新	立 1 小 斤
斶	斤 罒 3 5 虫
方	方
於	方 𠆢 4 4
施	方 𠂉 也
旁	亠 丷 冖 方
旃	方 𠂉  亠
旄	方 𠂉 毛
旅	方 𠂉 ㇒ 戈
旆	方 𠂉 1 巾
旋	方 𠂉 5 龰
旌	方 𠂉 3 龶
旎	方 𠂉 尸 匕
族	方 𠂉 𠂉 大
旐	方 𠂉 3 冫 6 ㇒ 4
旒	方 𠂉 亠 厶 
旖	方 𠂉 大 可
旗	方 𠂉  八
旞	方 𠂉 丷 豕 辶
无	二 儿
既	彐 6 ㇏ 1 6 儿
日	日
旦	日 1
旧	2 日
旨	匕 日
早	日 十
旬	勹 日
旭	3 ㇈ 日
旮	3 ㇈ 日
旯	日 3 ㇈
旰	日 干
旱	日 干
旴	日 于
旵	日 山
时	日 寸
旷	日 广
旸	日 𠃓
旺	日 王
旻	日 文
旿	日 𠂉 十
昀	日 3 5 冫
昂	日 ㇒ 6 卩
昃	日 厂 人
昄	日 ㇒ 3 又
昆	日 比
昇	日 ㇒ 𠂇 2
昈	日 户
昉	日 方
昊	日 1 大
昌	日 日
明	日 月
昏	氏 日
昒	日 勿
易	日 勿
昔	艹 1 日
昕	日 斤
昙	日 二 厶
昝	夂 2 4 日
星	日 3 龶
映	日 2 5 大
昡	日 亠 6 厶
昣	日 𠆢 彡
昤	日 𠆢 ㇏ 龴
春	三 人 日
昧	日 未
昨	日 𠂉 2 二
昪	日 厶 𠂇 2
昫	日 句
昭	日 刀 口
是	日 1 龰
昱	日 立
昳	日 3 夫
昴	日 ㇒ 6 3 卩
昵	日 尸 匕
昶	㇏ 5 5 ㇒ ㇏ 日
昺	日 1 冂 人
昼	尸 ㇏ 日 1
昽	日 𠂇  ㇏
显	日 2 ⺌ 1
晁	日 3 冫 6 ㇒ 4
晃	日 ⺌ 1 儿
晅	日 1 日 1
晊	日 至
晋	1 2 ⺌ 1 日
晌	日 3 冂 口
晏	日 宀 女
晐	日 亠 6 3 人
晒	日 西
晓	日 1 6 ㇒ 1 儿
晔	日 亻  十
晕	日 冖 车
晖	日 冖 车
晗	日 𠆢 ㇏ 5 口
晙	日 厶 八 夂
晚	日 ⺈ 口 儿
晞	日 乂 𠂇 巾
晟	日 成
晡	日 甫
晢	扌 斤 日
晤	日 五 口
晦	日 𠂉 母
晨	日 厂 二 6 ㇒ ㇏
晪	日 2 5 艹 1 八
晫	日 2 1 日 十
普	丷 1 2 ⺌ 1 日
景	日 亠 口 小
晰	日 木 斤
晱	日 火 火
晴	日 龶 
晶	日 日 日
晷	日 夂 2 4 口
智	𠂉 大 口 日
晾	日 亠 口 小
暂	 斤 日
暄	日 宀 1 日 1
暅	日 忄 1 日 1
暇	日 5 1 2 二 5 1 又
暌	日 5 ㇏ 3 3 ㇏ 1 大
暑	日 十 𠂇 日
暕	日 束 丷
暖	日 爫 1 𠂇 又
暗	日 立 日
暝	日 冖 日 亠 八
暧	日 爫 冖 𠂇 又
暨	彐 6 ㇏ 1 6 儿 日 1
暮	艹 日 大 日
暲	日 立 日 十
暴	日 艹 1 八 氺
暵	日 廿 口 夫
暶	日 方 𠂉 5 龰
暹	日 亻 亠 龶 辶
暾	日 亠 口 子 攵
暿	日 士 口 丷 1 口
曈	日 立 日 
曌	日 月 宀 八 工
曙	日 罒 十 𠂇 日
曛	日 ㇒ 1 黑
曜	日 习 习 亻 亠 龶
曝	日 日 艹 1 八 氺
曦	日 丷 王 千 𠆢 1 5 戈
曩	日 亠 口 口 1 艹 1 3 6 ㇒ ㇏
曰	曰
曲	囗 艹
曳	日 6 3
更	1 日 乂
曷	日 3 5 人 6
曹	1 囗 艹 日
曼	日 罒 又
曾	丷 囗 ⺌ 日
替	夫 夫 日
最	日 耳 又
月	月
有	𠂇 
朋	月 月
服	月 卩 又
朏	月 出
朐	月 句
朓	月 3 冫 6 ㇒ 4
朔	丷 1 6 2 3 月
朕	月 丷 1 大
朗	㇏ 彐 6 ㇏ 月
望	亠 6 月 王
朝	十 日 十 月
期	 八 月
朦	月 艹 冖 1 豕
木	木
未	未
末	末
本	木 1
札	木 6
术	木 ㇏
朱	牛 𠆢
朳	木 八
朴	木 卜
朵	几 木
朸	木 力
机	木 几
朽	木 丂
杀	乂 1 小
杂	3 ㇈ 1 小
权	木 又
杄	木 千
杆	木 干
杈	木 又 ㇏
杉	木 彡
杌	木 1 儿
李	木 子
杏	木 口
材	木 1 2 3
村	木 寸
杓	木 勺
杕	木 大
杖	木 𠂇 ㇏
杙	木 弋
杜	木 土
杞	木 己
束	束
杠	木 工
条	夂 1 小
来	1 米
杧	木 亠 6
杨	木 𠃓
杩	木 马
杪	木 2 八 3
杭	木 亠 几
杯	木 不
杰	木 灬
杲	日 木
杳	木 日
杵	木 𠂉 十
杷	木 巴
杻	木 5 
杼	木 予
松	木 八 厶
板	木 ㇒ 3 又
极	木 及
构	木 3 5 厶
枅	木 1 𠂇 2
枇	木 比
枉	木 王
枋	木 方
枍	木 八 丂
析	木 斤
枕	木 冖 儿
林	木 木
枘	木 冂 人
枚	木 攵
果	日 木
枝	木 十 又
枞	木 人 人
枢	木 匚 乂
枣	1 巾 𠆢 4 4
枥	木 厂 力
枧	木 见
枨	木 长
枪	木 𠆢 ⺋
枫	木  乂
枭	 木
枯	木 古
枰	木 1 丷 十
枲	厶 口 木
枳	木 口 八
枵	木 口 丂
架	力 口 木
枷	木 力 口
枸	木 句
枹	木 3 5 巳
柁	木 宀 匕
柃	木 𠆢 ㇏ 龴
柄	木 1 冂 人
柈	木 丷 𰀁
柊	木 夂 4 4
柏	木 白
某	甘 木
柑	木 甘
柒	氵 七 木
染	氵 3 ㇈ 木
柔	予 3 木
柖	木 刀 口
柘	木 石
柙	木 日 2
柚	木 日 2
柜	木 匚 5 1
柝	木 斤 ㇏
柞	木 𠂉 2 二
柠	木 宀 丁
柢	木 氏 ㇏
查	木 日 1
柩	木 匚 3 5 ㇏
柬	束 丷
柯	木 可
柰	木 二 小
柱	木 亠 土
柳	木 ㇒ 6 3 卩
柴	 匕 木
柷	木 兄
柽	木 又 土
柿	木 亠 巾
栀	木 ㇒ 𠂉 ⺋
栅	木 册
标	木 二 小
栈	木 戋
栉	木 艹 
栊	木 𠂇  ㇏
栋	木 1 6 小
栌	木 2 1 尸
栎	木 ㇒ 6 小
栏	木 丷 1 二
栐	木 ㇏ 5 5 ㇒ ㇏
树	木 又 寸
栒	木 3 5 日
栓	木 𠆢 王
栖	木 西
栗	覀 木
栝	木 千 口
栟	木 丷 1 𠂇 2
校	木 亠 八 乂
栩	木 习 习
株	木 牛 𠆢
栲	木 十 𠂇 丂
栳	木 十 𠂇 匕
栴	木 𠂉  亠
样	木 羊
核	木 亠 6 3 人
根	木 彐 6 ㇒ ㇏
栻	木 弋 工
格	木 各
栽	十 戈 木
栾	亠 2 2 八 木
桀	夕 1 6 2 木
桁	木 彳 1 丁
桂	木 土 土
桃	木 3 冫 6 ㇒ 4
桄	木 ⺌ 1 儿
桅	木 ⺈ 厂 ⺋
框	木 匚 王
案	宀 女 木
桉	木 宀 女
桊	丷 夫 木
桌	卜 日 木
桎	木 至
桐	木 冂 1 口
桑	又 又 又 木
桓	木 1 日 1
桔	木 士 口
桕	木 臼
桠	木 1 2 ⺌ 1
桡	木 1 6 ㇒ 1 儿
桢	木 2 1 贝
档	木 ⺌ 彐
桤	木 山 己
桥	木 ㇒ 大 3 2
桦	木 亻  十
桧	木 𠆢 二 厶
桨	丬 夕 木
桩	木 广 土
桫	木 氵 2 八 3
桯	木 口 王
桲	木 十 冖 子
桴	木 爫 子
桶	木 龴 
桷	木 ⺈ 用
桹	木 ㇏ 彐 6 ㇒ ㇏
梁	氵 刀 ㇏ ㇏ 木
梃	木 千 1 廴
梅	木 𠂉 母
梆	木 三 3 阝
梌	木 𠆢 于 八
梏	木  口
梓	木 辛
梗	木 1 日 乂
梠	木 口 口
梢	木 ⺌ 
梣	木 山 𠆢 ㇏ 5
梦	木 木 夕
梧	木 五 口
梨	禾 刂 木
梭	木 厶 八 夂
梯	木 弟
械	木 戈 𠂇 2
梳	木 亠 厶 
梴	木 ㇒ 2 1 6 廴
梵	木 木 几 ㇏
梼	木 三 3 寸
梽	木 士 心
梾	木 1 米
梿	木 车 辶
检	木 𠆢 1 ㇏ 丷 1
棁	木 丷 兄
棂	木 彐 火
棉	木 白 巾
棋	木  八
棍	木 日 比
棐	 1 2 三 木
棒	木 三 人 𰀁
棓	木 立 口
棕	木 宀 二 小
棘	1 巾 𠆢 1 巾 𠆢
棚	木 月 月
棠	 口 木
棣	木 5 二 氺
棤	木 艹 1 日
棨	户 攵 木
棪	木 火 火
棫	木 戈 口 1
棬	木 丷 夫 ⺋
森	木 木 木
棰	木 千 艹 二
棱	木 土 八 夂
棵	木 日 木
棹	木 2 1 日 十
棺	木 宀 
棻	艹 八 刀 木
棼	木 木 八 刀
棽	木 木 𠆢 ㇏ 5
椀	木 宀 夕 ⺋
椁	木 亠 口 子
椅	木 大 可
椆	木  土 口
椋	木 亠 口 小
植	木 直
椎	木 亻 亠 龶
椐	木 尸 古
椑	木 白 3 十
椒	木 2 二 小 又
椓	木 1 ㇒ 5 ㇒ ㇒ ㇏ ㇒ ㇏
椟	木 十 5 氵 人
椠	 斤 木
椤	木 罒 夕
椪	木 丷 1 2 ⺌ 1
椭	木 阝 𠂇 
椰	木 耳 阝
椴	木 ㇒ 2 三 殳
椸	木 方 𠂉 也
椹	木  八 6
椽	木 6 5 豕
椿	木 三 人 日
楂	木 木 日 1
楒	木 田 心
楔	木 丰 刀 大
楗	木 5 三 十 廴
楙	木 予 3 木
楚	木 木 5 龰
楝	木 束 丷
楞	木 罒 方
楠	木 十 冂 丷 干
楣	木 尸 2 目
楦	木 宀 1 日 1
楩	木 亻 1 日 乂
楪	木 廿 6 木
楫	木 口 耳
楮	木 十 𠂇 日
楯	木 ㇒ 3 十 目
楷	木 1 6 匕 白
楸	木 千 𠆢 火
楹	木 5 3 又 皿
楼	木 米 女
概	木 彐 6 ㇏ 1 6 儿
榃	木 木 田
榄	木 2 2 𠂉 ㇏ 见
榅	木 日 皿
榆	木 𠆢 1  刂
榇	木 立 1 小
榈	木 门 口 口
榉	木 ㇏ 丷 1 八 𰀁
榍	木 尸 ⺌ 
榑	木 甫 寸
榔	木 ㇏ 彐 6 ㇏ 阝
榕	木 宀 谷
榖	士 冖 1 木 殳
榛	木 三 人 千 𠆢
榜	木 亠 丷 冖 方
榧	木 匚  1 2 三
榨	木 宀 八 𠂉 2 二
榫	木 亻 亠 龶 十
榭	木 3  1 ㇒ 寸
榰	木 十 𠂇 匕 日
榱	木 亠 口 1 3 6 ㇒ ㇏
榴	木 ㇒ 6 ㇏ 刀 田
榷	木 冖 亻 亠 龶
榻	木 日 习 习
槁	木 高
槃	舟 殳 木
槊	丷 1 6 2 3 月 木
槌	木 3  辶
槎	木 丷 三 3 工
槐	木 鬼
槔	木 白 大 十
槚	木 覀 贝
槛	木 2 2 𠂉 ㇏ 皿
槜	木 亻 亠 龶 5 3
槟	木 宀 ㇒ 2 1 2 1 八
槠	木 讠 十 𠂇 日
槭	木 厂 2 二 小 戈
槱	木 西 1 灬
槲	木 ⺈ 用 氵 2
槽	木 1 囗 艹 日
槿	木 廿 口 龶
樊	木 乂 乂 木 大
樗	木  二 5
樘	木  口 土
樟	木 立 日 十
模	木 艹 日 大
樨	木 尸 2 冫 ㇒ 4 牛
横	木 艹 1 1 日 乂
樯	木 十 丷 1 囗 口
樱	木 贝 贝 女
樵	木 亻 亠 龶 灬
樽	木 丷 西 1 寸
樾	木 土 2 1 3 4 1 6 戈
橄	木 5 耳 攵
橇	木 毛 毛 毛
橐	1 口 2 冖 石 木
橑	木 大 丷 日 小
橘	木 予 3 冂 八 口
橙	木 5 ㇏ 3 3 ㇏ 1 口 丷 1
橛	木 厂 丷 1 6 2 3 ⺈ 人
橞	木 1 日 2 1 ㇏ 心
橡	木 象
橥	犭 十 𠂇 日 木
橦	木 立 日 
橱	木 厂 1 口 丷 1 寸
橹	木 鱼 日
橼	木 纟 6 5 豕
檀	木 亠 囗 口 日 1
檄	木 白 方 攵
檎	木 𠆢 亠 乂 6 2 冂 厶
檐	木 ⺈ 厂 八 言
檑	木  田
檗	尸 口 辛 木
檞	木 ⺈ 用 刀 牛
檠	艹 句 攵 木
檩	木 亠 囗 口 二 小
檫	木 宀 夕 4 5 ㇏ 二 小
檬	木 艹 冖 1 豕
櫆	木 鬼 氵 2
欂	木 艹 氵 甫 寸
欠	⺈ 人
次	冫 ⺈ 人
欢	又 ⺈ 人
欣	斤 ⺈ 人
欤	与 ⺈ 人
欧	匚 乂 ⺈ 人
欲	谷 ⺈ 人
欸	厶 𠂉 大 ⺈ 人
欹	大 可 ⺈ 人
欺	 八 ⺈ 人
欻	火 火 ⺈ 人
款	士 二 小 ⺈ 人
歃	千 臼 ⺈ 人
歅	覀 土 ⺈ 人
歆	立 日 ⺈ 人
歇	日 3 5 人 6 ⺈ 人
歉	丷 1 5 1 艹 八 ⺈ 人
歌	可 可 ⺈ 人
歙	𠆢 1 口 习 习 ⺈ 人
止	
正	1 
此	 匕
步	 2 3 3
武	1 弋 
歧	 十 又
歪	不 1 
歹	歹
死	死
歼	歹 千
殁	歹 殳
殂	歹 且
殃	歹 2 5 大
殄	歹 𠆢 彡
殆	歹 厶 口
殇	歹 𠂉 𠃓
殉	歹 3 5 日
殊	歹 牛 𠆢
残	歹 戋
殍	歹 爫 子
殒	歹 口 贝
殓	歹 𠆢 1 ㇏ 丷 1
殖	歹 直
殚	歹 丷 日 十
殛	歹 5 2 口 又 1
殡	歹 宀 ㇒ 2 1 2 1 八
殣	歹 廿 口 龶
殪	歹 士 冖 1 口 丷 1
殳	殳
殴	匚 乂 殳
段	㇒ 2 三 殳
殷	㇒ 3 彐 5 殳
殿	尸 艹 1 八 殳
毁	臼 工 殳
毂	士 冖  殳
毅	立 ㇒ 5 ㇒ ㇒ ㇒ ㇏ 殳
毋	6 刀 1
毌	6 5 2 1
母	母
每	𠂉 母
毐	士 6 刀 1
毒	龶 母
毓	𠂉 6 5 亠 ㇏ 亠 厶 
比	比
毕	比 十
毖	比 ㇏ 6 ㇏ 八
毗	田 比
毙	比 死
毛	毛
毡	毛 2 1 口
毪	毛 厶 牛
毫	亠 口 冖 毛
毯	毛 火 火
毳	毛 毛 毛
毵	厶 大 ㇒ ㇒ ㇒ 毛
毹	𠆢 1  刂 毛
毽	毛 5 三 十 廴
氅	尚 攵 毛
氆	毛 丷 1 2 ⺌ 1 日
氇	毛 鱼 日
氍	目 目 亻 亠 龶 毛
氏	氏
氐	氏 ㇏
民	民
氓	亠 6 民
气	气
氕	气 3
氖	气 5 3
氘	气 3 2
氙	气 山
氚	气 3 2 2
氛	气 八 刀
氟	气 5 1 5 3 2
氡	气 夂 4 4
氢	气 5 ㇏ 工
氤	气 囗 大
氦	气 亠 6 3 人
氧	气 羊
氨	气 宀 女
氩	气 1 2 ⺌ 1
氪	气 古 儿
氮	气 火 火
氯	气  氺
氰	气 龶 
氲	气 日 皿
水	水
永	㇏ 5 5 ㇒ ㇏
氾	氵 ⺋
氿	氵 3 ㇈
汀	氵 丁
汁	氵 十
求	1 2 冫 ㇒ 4 ㇏
汆	3 ㇏ 水
汇	氵 匚
汈	氵 5 1
汉	氵 又
汊	氵 又 ㇏
汋	氵 勺
汐	氵 夕
汔	氵 𠂉 ㇈
汕	氵 山
汗	氵 干
汛	氵 6 十
汜	氵 巳
汝	氵 女
汞	工 水
江	氵 工
池	氵 也
污	氵 二 5
汤	氵 𠃓
汧	氵 1 𠂇 2
汨	氵 日
汩	氵 曰
汪	氵 王
汫	氵 二 3 2
汭	氵 冂 人
汰	氵 大 ㇏
汲	氵 及
汴	氵 亠 卜
汶	氵 文
汹	氵 乂 凵
汽	氵 气
汾	氵 八 刀
沁	氵 心
沂	氵 斤
沃	氵 ㇒ 大
沄	氵 二 厶
沅	氵 二 儿
沆	氵 亠 几
沇	氵 厶 儿
沈	氵 冖 儿
沉	氵 冖 几
沌	氵 1 6 2 6
沏	氵 七 刀
沐	氵 木
沓	水 日
沔	氵 1 2 6 5
沘	氵 比
沙	氵 2 八 3
沚	氵 
沛	氵 1 巾
沟	氵 3 5 厶
没	氵 殳
沣	氵 丰
沤	氵 匚 乂
沥	氵 厂 力
沦	氵 𠆢 匕
沧	氵 𠆢 ⺋
沨	氵  乂
沩	氵 为
沪	氵 户
沫	氵 末
沭	氵 木 ㇏
沮	氵 且
沱	氵 宀 匕
河	氵 可
沸	氵 5 1 5 3 2
油	氵 日 2
沺	氵 田
治	氵 厶 口
沼	氵 刀 口
沽	氵 古
沾	氵 2 1 口
沿	氵 几 口
泂	氵 冂 口
泃	氵 句
泄	氵 廿 6
泅	氵 囗 人
泇	氵 力 口
泉	白 水
泊	氵 白
泌	氵 ㇏ 6 ㇏ 八
泐	氵 阝 力
泓	氵 5 1 5 厶
泔	氵 甘
法	氵 土 厶
泖	氵 ㇒ 6 3 卩
泗	氵 囗 儿
泙	氵 1 丷 十
泚	氵  匕
泛	氵 ㇒ ㇏ 5 4
泜	氵 氏 ㇏
泞	氵 宀 丁
泠	氵 𠆢 ㇏ 龴
泡	氵 3 5 巳
波	氵 5 3 2 又
泣	氵 立
泥	氵 尸 匕
注	氵 亠 土
泪	氵 目
泫	氵 亠 6 厶
