级别	频率	字	现拆分	处置(留空待填)
L3	41082993	我	㇒ 扌 6 ㇒ ㇏	
L3	11869898	与	1 5 1	
L3	10735161	被	衤 5 3 2 又	
L3	8249156	最	日 1 2 2 三 又	
L3	7533527	下	1 2 4	
L3	6062185	之	㇏ 5 4	
L3	5229354	第	⺮ 5 1 5 2 3	
L3	4751858	书	5 5 2 ㇏	
L3	4498811	所	㇒ 3 5 1 斤	
L3	4255882	才	1 2 3	
L3	3300348	已	5 1 6	
L3	2895601	起	土 2 1 3 4 己	
L3	2768197	万	1 5 3	
L3	2669145	事	1 口 5 二 2	
L3	2306286	场	土 5 3 3	
L3	2304485	真	十 2 5 三 1 八	
L3	2113122	写	冖 1 5 1	
L3	1976264	卡	2 二 2 4	
L3	1735869	值	亻 十 2 5 三 1	
L3	1717927	越	土 2 1 3 4 1 6 6 ㇒ ㇏	
L3	1679740	超	土 2 1 3 4 刀 口	
L3	1615554	管	⺮ 宀 2 5 1 5 1	
L3	1516157	率	亠 6 厶 冫 ㇒ 4 十	
L3	1497221	感	厂 1 口 6 ㇒ ㇏ 心	
L3	1463941	表	龶 3 6 ㇒ ㇏	
L3	1360734	喝	口 日 3 5 人 6	
L3	1359367	题	日 1 2 1 3 4 1 3 贝	
L3	1268340	哦	口 ㇒ 扌 6 ㇒ ㇏	
L3	1265141	穿	宀 八 1 6 2 3	
L3	1193707	亚	1 2 ⺌ 1	
L3	1177994	汤	氵 5 3 3	
L3	1146828	球	王 1 2 冫 ㇒ 4 ㇏	
L3	1145106	师	2 3 1 巾	
L3	1075325	民	5 1 6 1 6	
L3	1072698	求	1 2 冫 ㇒ 4 ㇏	
L3	1043140	展	尸 艹 1 6 ㇒ ㇏	
L3	1031719	岛	3 5 ㇏ 5 山	
L3	980808	镇	钅 十 2 5 三 1 八	
L3	947691	直	十 2 5 三 1	
L3	926677	联	1 2 2 三 丷 1 大	
L3	925354	身	3  1 ㇒	
L3	918917	饭	⺈ 6 ㇒ 3 又	
L3	914810	州	㇏ 八 2 ㇏ 2	
L3	913858	久	3 5 ㇏	
L3	891630	杨	木 5 3 3	
L3	857363	团	囗 1 2 3	
L3	854684	波	氵 5 3 2 又	
L3	835449	皮	5 3 2 又	
L3	822340	画	1 田 6 2	
L3	817674	留	㇒ 6 ㇏ 刀 田	
L3	804109	必	㇏ 6 ㇏ 八	
L3	803546	取	1 2 2 三 又	
L3	782596	具	2 5 三 1 八	
L3	746594	养	丷 1 夫 3 2	
L3	744451	步	 2 3 3	
L3	743334	普	丷 1 2 ⺌ 1 日	
L3	734915	领	𠆢 ㇏ 龴 1 3 贝	
L3	725648	飞	6 ㇒ 4	
L3	713800	脸	月 𠆢 1 ㇏ 丷 1	
L3	690317	影	日 亠 口 小 ㇒ ㇒ ㇒	
L3	674900	川	3 2 2	
L3	674620	降	阝 夂 1 6 2	
L3	667634	涨	氵 5 1 5 长	
L3	662252	派	氵 ㇒ 3 ㇒ 6 ㇒ ㇏	
L3	661283	呀	口 1 6 2 3	
L3	653975	官	宀 2 5 1 5 1	
L3	649903	形	1 𠂇 2 ㇒ ㇒ ㇒	
L3	648534	预	龴 5 2 1 3 贝	
L3	645763	赵	土 2 1 3 4 乂	
L3	642771	修	亻 2 夂 ㇒ ㇒ ㇒	
L3	628859	破	石 5 3 2 又	
L3	616314	瓦	1 6 ㇈ ㇏	
L3	608715	烧	火 1 6 ㇒ 1 儿	
L3	603378	参	厶 大 ㇒ ㇒ ㇒	
L3	577757	旅	方 𠂉 ㇒ 6 ㇒ ㇏	
L3	575428	康	广 5 二 2 冫 ㇒ 4	
L3	572733	财	贝 1 2 3	
L3	559237	桥	木 ㇒ 大 3 2	
L3	557240	泰	三 人 2 冫 ㇒ 4	
L3	526281	蓝	艹 2 2 𠂉 ㇏ 皿	
L3	522248	练	纟 1 6 5 八	
L3	522229	假	亻 5 1 2 二 5 1 又	
L3	521814	摄	扌 1 2 2 三 又 又	
L3	517061	顿	1 6 2 6 1 3 贝	
L3	506374	乡	6 6 3	
L3	498289	融	1 口 冂 丷 1 2 虫	
L3	482032	威	厂 1 女 6 ㇒ ㇏	
L3	479526	减	冫 厂 1 口 6 ㇒ ㇏	
L3	477904	谢	讠 3  1 ㇒ 寸	
L3	477562	险	阝 𠆢 1 ㇏ 丷 1	
L3	473019	追	3 2 5 1 5 1 辶	
L3	472257	既	彐 6 ㇏ 1 6 儿	
L3	466554	纯	纟 1 6 2 6	
L3	463754	永	㇏ 5 5 ㇒ ㇏	
L3	462663	绿	纟  2 冫 ㇒ 4	
L3	462610	馆	⺈ 6 宀 2 5 1 5 1	
L3	456972	雨	1 巾 4 4 4 4	
L3	455217	尽	尸 ㇏ 4 4	
L3	454266	登	5 ㇏ 3 3 ㇏ 1 口 丷 1	
L3	448137	餐	2 1 夕 又 𠆢 ㇏ 艮	
L3	443874	职	1 2 2 三 口 八	
L3	443629	雅	1 6 2 3 亻 亠 龶	
L3	441820	虾	虫 1 2 4	
L3	437181	跳	 3 冫 6 ㇒ 4	
L3	435751	赚	贝 丷 1 5 1 艹 八	
L3	430866	互	1 6 5 1	
L3	427530	置	罒 十 2 5 三 1	
L3	423915	印	㇒ 6 1 卩	
L3	418705	咸	厂 1 口 6 ㇒ ㇏	
L3	417925	抓	扌 ㇒ 3 2 ㇏	
L3	408813	惠	1 日 2 1 ㇏ 心	
L3	405738	藏	艹 厂 6 1 3 匚 2 5 1 2 6 ㇒ ㇏	
L3	405471	爆	火 日 艹 1 八 2 冫 ㇒ 4	
L3	404911	农	冖 3 6 ㇒ ㇏	
L3	402098	佛	亻 5 1 5 3 2	
L3	372012	顺	3 2 2 1 3 贝	
L3	367780	蛋	5 2 1 3 4 虫	
L3	362247	晓	日 1 6 ㇒ 1 儿	
L3	361643	粥	弓 米 5 1 5	
L3	361032	兹	丷 1 6 厶 6 厶	
L3	349211	彩	爫 木 ㇒ ㇒ ㇒	
L3	349118	湾	氵 亠 2 2 八 5 1 5	
L3	347374	须	㇒ ㇒ ㇒ 1 3 贝	
L3	346538	候	亻 2 5 1 𠂉 大	
L3	342926	耶	1 2 2 三 阝	
L3	342791	录	 2 冫 ㇒ 4	
L3	338748	临	2 2 𠂉 ㇏ 囗 2	
L3	338563	聊	1 2 2 三 ㇒ 6 3 卩	
L3	336638	挑	扌 3 冫 6 ㇒ 4	
L3	334491	监	2 2 𠂉 ㇏ 皿	
L3	333397	兵	㇒ 2 1 2 1 八	
L3	330480	闻	门 1 2 2 三	
L3	328574	朗	㇏ 彐 6 ㇏ 月	
L3	324871	饼	⺈ 6 丷 1 𠂇 2	
L3	321008	剑	𠆢 1 ㇏ 丷 1 刂	
L3	319308	承	5 2 三 5 ㇒ ㇏	
L3	318593	敏	𠂉 6 5 亠 ㇏ 攵	
L3	315833	签	⺮ 𠆢 1 ㇏ 丷 1	
L3	312675	敢	5 1 2 2 三 攵	
L3	308388	检	木 𠆢 1 ㇏ 丷 1	
L3	306118	验	马 𠆢 1 ㇏ 丷 1	
L3	304477	密	宀 ㇏ 6 ㇏ 八 山	
L3	302634	牙	1 6 2 3	
L3	300523	浓	氵 冖 3 6 ㇒ ㇏	
L3	297085	弱	弓 冫 5 1 5 冫	
L3	296633	典	2 5 艹 1 八	
L3	294688	饱	⺈ 6 3 5 巳	
L3	291648	虎	2 1 5 3 七 几	
L3	288212	救	1 2 冫 ㇒ 4 ㇏ 攵	
L3	287916	舞	𠂉  2 1 夕 1 6 2	
L3	277839	材	木 1 2 3	
L3	273231	兼	丷 1 5 1 艹 八	
L3	272933	瓶	丷 1 𠂇 2 1 6 ㇈ ㇏	
L3	266154	洲	氵 ㇏ 八 2 ㇏ 2	
L3	264471	延	㇒ 2 1 6 廴	
L3	264034	聚	1 2 2 三 又 ㇒ 2 ㇒ ㇒ ㇒ ㇏	
L3	253785	乔	㇒ 大 3 2	
L3	251920	吨	口 1 6 2 6	
L3	246075	赶	土 2 1 3 4 干	
L3	245035	蔡	艹 夕 4 5 ㇏ 二 小	
L3	237858	隔	阝 1 口 冂 丷 1 2	
L3	227724	擦	扌 宀 夕 4 5 ㇏ 二 小	
L3	225778	彭	士 口 丷 1 ㇒ ㇒ ㇒	
L3	224201	添	氵 1 大 2 ㇏ ㇏ ㇏	
L3	224069	射	3  1 ㇒ 寸	
L3	223252	喊	口 厂 1 口 6 ㇒ ㇏	
L3	222508	穆	禾 白 小 ㇒ ㇒ ㇒	
L3	220011	胸	月 3 5 乂 6 2	
L3	219429	耳	1 2 2 三	
L3	217953	俄	亻 ㇒ 扌 6 ㇒ ㇏	
L3	214193	柳	木 ㇒ 6 3 卩	
L3	212584	颜	立 3 ㇒ ㇒ ㇒ 1 3 贝	
L3	212017	炖	火 1 6 2 6	
L3	210699	填	土 十 2 5 三 1 八	
L3	209639	训	讠 3 2 2	
L3	206346	袁	土 口 3 6 ㇒ ㇏	
L3	205384	扬	扌 5 3 3	
L3	205315	察	宀 夕 4 5 ㇏ 二 小	
L3	204454	频	 2 3 3 1 3 贝	
L3	203086	虚	2 1 5 3 七 2 ⺌ 1	
L3	200224	饿	⺈ 6 ㇒ 扌 6 ㇒ ㇏	
L3	199392	震	 厂 二 6 ㇒ ㇏	
L3	197594	振	扌 厂 二 6 ㇒ ㇏	
L3	196872	郎	㇏ 彐 6 ㇏ 阝	
L3	193332	暴	日 艹 1 八 2 冫 ㇒ 4	
L3	192119	碰	石 丷 1 2 ⺌ 1	
L3	191439	黎	禾 3 刀 𠆢 2 冫 ㇒ 4	
L3	189768	恶	1 2 ⺌ 1 心	
L3	189127	晋	1 2 ⺌ 1 日	
L3	189078	绕	纟 1 6 ㇒ 1 儿	
L3	188210	烫	氵 5 3 3 火	
L3	185658	寒	宀 1 艹 1 八 4 4	
L3	185192	瓜	㇒ 3 6 ㇏ ㇏	
L3	184770	涉	氵  2 3 3	
L3	183284	晨	日 厂 二 6 ㇒ ㇏	
L3	182550	陶	阝 3 5 𠂉 1 山	
L3	179867	珍	王 𠆢 ㇒ ㇒ ㇒	
L3	179446	乎	㇒ 丷 1 2	
L3	177201	吓	口 1 2 4	
L3	175871	肠	月 5 3 3	
L3	171906	妻	1 5 二 2 女	
L3	170239	爬	㇒ 3 2 ㇏ 巴	
L3	168120	赴	土 2 1 3 4 2 4	
L3	166915	钙	钅 1 2 1 5	
L3	165262	呼	口 ㇒ 丷 1 2	
L3	162549	趣	土 2 1 3 4 1 2 2 三 又	
L3	160002	葛	艹 日 3 5 人 6	
L3	159960	捷	扌 1 5 𰀁 1 3 4	
L3	159844	迈	1 5 3 辶	
L3	159247	茂	艹 厂 6 ㇒ ㇏	
L3	158328	鑫	𠆢 干 丷 1 𠆢 干 丷 1 𠆢 干 丷 1	
L3	157915	宾	宀 ㇒ 2 1 2 1 八	
L3	157468	姚	女 3 冫 6 ㇒ 4	
L3	155831	鼻	自 田 1 3 2	
L3	155658	鹿	广 5 2 2 1 1 6 匕	
L3	154611	逃	3 冫 6 ㇒ 4 辶	
L3	151391	萧	艹 5 𰀁 3 2 八	
L3	151325	拜	㇒ 二 3 1 丰	
L3	150426	植	木 十 2 5 三 1	
L3	146372	颈	5 ㇏ 工 1 3 贝	
L3	145066	蜜	宀 ㇏ 6 ㇏ 八 虫	
L3	144053	喂	口 田 1 6 ㇒ ㇏	
L3	142685	躺	3  1 ㇒ 尚	
L3	140422	弟	丷 5 1 5 2 3	
L3	138797	彦	立 3 ㇒ ㇒ ㇒	
L3	137462	辑	 口 1 2 2 三	
L3	137279	嫌	女 丷 1 5 1 艹 八	
L3	136736	桃	木 3 冫 6 ㇒ 4	
L3	134676	漏	氵 尸 1 巾 4 4 4 4	
L3	133730	瑟	王 王 ㇏ 6 ㇏ 八	
L3	133045	龄	 人 6 2 𠆢 ㇏ 龴	
L3	132394	坡	土 5 3 2 又	
L3	132252	滨	氵 宀 ㇒ 2 1 2 1 八	
L3	131577	鼠	臼 6 4 4 6 4 4 6	
L3	131069	涵	氵 5 2 冫 ㇒ 4 6 2	
L3	131051	泛	氵 ㇒ ㇏ 5 4	
L3	128645	颇	5 3 2 又 1 3 贝	
L3	127991	趋	土 2 1 3 4 ⺈ 彐	
L3	127836	滚	氵 亠 八 厶 3 6 ㇒ ㇏	
L3	127287	淘	氵 3 5 𠂉 1 山	
L3	124658	弯	亠 2 2 八 5 1 5	
L3	123952	鼎	目 5 1 3 2 1 2 5	
L3	123076	毅	立 ㇒ 5 ㇒ ㇒ ㇒ ㇏ 殳	
L3	122126	薛	艹 3 2 5 1 5 1 辛	
L3	121856	藤	艹 月 丷 夫 2 冫 ㇒ 4	
L3	120603	秘	禾 ㇏ 6 ㇏ 八	
L3	118687	畅	日 2 5 3 3	
L3	118611	函	5 2 冫 ㇒ 4 6 2	
L3	118328	芝	艹 ㇏ 5 4	
L3	118021	闭	门 1 2 3	
L3	117955	臣	匚 2 5 1 2	
L3	117289	辰	厂 二 6 ㇒ ㇏	
L3	115427	聘	1 2 2 三 日 2 1 5	
L3	114869	捡	扌 𠆢 1 ㇏ 丷 1	
L3	113980	概	木 彐 6 ㇏ 1 6 儿	
L3	113894	摔	扌 亠 6 厶 冫 ㇒ 4 十	
L3	112680	暨	彐 6 ㇏ 1 6 儿 日 1	
L3	112312	慈	丷 1 6 厶 6 厶 心	
L3	110807	漆	氵 木 𠆢 2 冫 ㇒ 4	
L3	109062	谱	讠 丷 1 2 ⺌ 1 日	
L3	106905	逆	丷 1 6 2 3 辶	
L3	106756	廖	广 习 习 𠆢 ㇒ ㇒ ㇒	
L3	105847	狮	犭 2 3 1 巾	
L3	104689	惯	忄 6 5 2 1 贝	
L3	104025	柔	龴 5 2 3 木	
L3	103235	躲	3  1 ㇒ 几 木	
L3	102686	祭	夕 4 5 ㇏ 二 小	
L3	100946	披	扌 5 3 2 又	
L3	100909	递	丷 5 1 5 2 3 辶	
L3	99660	瘤	疒 ㇒ 6 ㇏ 刀 田	
L3	99297	鹅	㇒ 扌 6 ㇒ ㇏ 鸟	
L3	99293	衰	亠 口 1 3 6 ㇒ ㇏	
L3	99257	兆	3 冫 6 ㇒ 4	
L3	99175	禄	礻  2 冫 ㇒ 4	
L3	98430	卿	㇒ 6 3 彐 6 ㇏ 卩	
L3	97035	慎	忄 十 2 5 三 1 八	
L3	97019	惨	忄 厶 大 ㇒ ㇒ ㇒	
L3	96461	曝	日 日 艹 1 八 2 冫 ㇒ 4	
L3	95775	塑	丷 1 6 2 3 月 土	
L3	94931	噶	口 艹 日 3 5 人 6	
L3	94893	霞	 5 1 2 二 5 1 又	
L3	94550	贸	㇒ 6 ㇏ 刀 贝	
L3	94194	浇	氵 1 6 ㇒ 1 儿	
L3	93462	鉴	2 2 𠂉 ㇏ 𠆢 干 丷 1	
L3	92639	虑	2 1 5 3 七 心	
L3	92495	婆	氵 5 3 2 又 女	
L3	92058	聪	1 2 2 三 丷 口 心	
L3	91604	娶	1 2 2 三 又 女	
L3	91538	趟	土 2 1 3 4 尚	
L3	91220	慕	艹 日 大 2 ㇏ ㇏ ㇏	
L3	90919	唇	厂 二 6 ㇒ ㇏ 口	
L3	90825	狐	犭 ㇒ 3 6 ㇏ ㇏	
L3	90417	炼	火 1 6 5 八	
L3	89919	脉	月 ㇏ 5 5 ㇒ ㇏	
L3	89273	篮	⺮ 2 2 𠂉 ㇏ 皿	
L3	88625	粤	3 囗 米 1 5	
L3	85903	邪	1 6 2 3 阝	
L3	85395	杉	木 ㇒ ㇒ ㇒	
L3	84861	俱	亻 2 5 三 1 八	
L3	84509	溜	氵 ㇒ 6 ㇏ 刀 田	
L3	84045	倾	亻 1 6 1 3 贝	
L3	84003	繁	𠂉 6 5 亠 ㇏ 攵 糸	
L3	83499	寨	宀 1 艹 1 八 1 小	
L3	83433	睿	2 1 冖 1 八 𠆢 目	
L3	83216	圳	土 3 2 2	
L3	82903	卧	匚 2 5 1 2 2 4	
L3	82901	囊	1 口 2 冖 口 口 1 艹 1 3 6 ㇒ ㇏	
L3	82845	谦	讠 丷 1 5 1 艹 八	
L3	82599	彬	木 木 ㇒ ㇒ ㇒	
L3	81008	廉	广 丷 1 5 1 艹 八	
L3	80689	诊	讠 𠆢 ㇒ ㇒ ㇒	
L3	80419	滋	氵 丷 1 6 厶 6 厶	
L3	79556	瓷	冫 ⺈ 人 1 6 ㇈ ㇏	
L3	77932	麟	广 5 2 2 1 1 6 1 6 米 夕 1 6 2	
L3	77863	孤	子 ㇒ 3 6 ㇏ ㇏	
L3	76940	掏	扌 3 5 𠂉 1 山	
L3	76561	裹	亠 日 木 3 6 ㇒ ㇏	
L3	75957	橙	木 5 ㇏ 3 3 ㇏ 1 口 丷 1	
L3	75867	卵	㇒ 6 ㇏ 3 卩 ㇏	
L3	75419	彼	彳 5 3 2 又	
L3	75169	揭	扌 日 3 5 人 6	
L3	75059	荡	艹 氵 5 3 3	
L3	73698	茅	艹 龴 5 2 3	
L3	73445	趁	土 2 1 3 4 𠆢 ㇒ ㇒ ㇒	
L3	73149	芽	艹 1 6 2 3	
L3	72816	衫	衤 ㇒ ㇒ ㇒	
L3	71523	娇	女 ㇒ 大 3 2	
L3	70518	磁	石 丷 1 6 厶 6 厶	
L3	70382	娅	女 1 2 ⺌ 1	
L3	68983	梯	木 丷 5 1 5 2 3	
L3	68012	滕	月 丷 夫 2 冫 ㇒ 4	
L3	67762	歪	1 亻 4 1 	
L3	67261	贯	6 5 2 1 贝	
L3	66332	恭	艹 1 八 2 ㇏ ㇏ ㇏	
L3	65838	滤	氵 2 1 5 3 七 心	
L3	65789	屯	1 6 2 6	
L3	65047	览	2 2 𠂉 ㇏ 2 5 儿	
L3	64674	氯	气  2 冫 ㇒ 4	
L3	64445	穗	禾 1 日 2 1 ㇏ 心	
L3	63683	虐	2 1 5 3 七 匚 1	
L3	62838	碱	石 厂 1 口 6 ㇒ ㇏	
L3	61689	眠	目 5 1 6 1 6	
L3	61586	枣	1 巾 𠆢 4 4	
L3	61193	聂	1 2 2 三 又 又	
L3	61187	诞	讠 ㇒ 2 1 6 廴	
L3	60859	黏	禾 𠆢 2 冫 ㇒ 4 2 1 口	
L3	60810	冢	冖 1 ㇒ 5 ㇒ ㇒ ㇏ ㇒ ㇏	
L3	60372	凸	2 1 2 5 1	
L3	59716	殷	㇒ 3 彐 5 殳	
L3	58541	膝	月 木 𠆢 2 冫 ㇒ 4	
L3	58526	橘	木 龴 5 2 3 冂 八 口	
L3	58484	尧	1 6 ㇒ 1 儿	
L3	58050	磷	石 米 夕 1 6 2	
L3	57351	椰	木 1 2 2 三 阝	
L3	57021	歇	日 3 5 人 6 ⺈ 人	
L3	56899	兜	白 ㇒ 6 5 1 儿	
L3	56721	邨	1 6 2 6 阝	
L3	55627	彤	 亠 ㇒ ㇒ ㇒	
L3	55526	揉	扌 龴 5 2 3 木	
L3	55330	乏	㇒ ㇏ 5 4	
L3	54646	廊	广 ㇏ 彐 6 ㇏ 阝	
L3	54586	匙	日 1 2 1 3 4 匕	
L3	54509	泳	氵 ㇏ 5 5 ㇒ ㇏	
L3	54255	肃	5 𰀁 3 2 八	
L3	53721	爪	㇒ 3 2 ㇏	
L3	53161	澄	氵 5 ㇏ 3 3 ㇏ 1 口 丷 1	
L3	53136	貌	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 白 儿	
L3	52527	筛	⺮ 2 3 1 巾	
L3	50999	疆	弓 土 1 田 1 田 1	
L3	50288	彰	立 日 十 ㇒ ㇒ ㇒	
L3	49758	氟	气 5 1 5 3 2	
L3	49465	豹	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 勺	
L3	49157	玻	王 5 3 2 又	
L3	49140	翘	1 6 ㇒ 1 儿 习 习	
L3	48304	曦	日 丷 王 千 𠆢 1 5 6 ㇒ ㇏	
L3	48209	贬	贝 ㇒ ㇏ 5 4	
L3	47667	皱	⺈ 彐 5 3 2 又	
L3	46627	夷	1 5 1 5 人	
L3	46139	哀	亠 口 3 6 ㇒ ㇏	
L3	45899	秉	㇒ 1 5 𰀁 𠆢	
L3	45222	葵	艹 5 ㇏ 3 3 ㇏ 1 大	
L3	44940	屿	山 1 5 1	
L3	44852	瓣	 ㇒ 3 6 ㇏ ㇏ 辛	
L3	44608	耿	1 2 2 三 火	
L3	44482	侨	亻 ㇒ 大 3 2	
L3	43926	凹	2 6 2 5 1	
L3	43791	碘	石 2 5 艹 1 八	
L3	43374	饶	⺈ 6 1 6 ㇒ 1 儿	
L3	42228	舔	千 口 1 大 2 ㇏ ㇏ ㇏	
L3	41327	丧	十 丷 1 6 ㇒ ㇏	
L3	40787	矛	龴 5 2 3	
L3	40131	咏	口 ㇏ 5 5 ㇒ ㇏	
L3	39628	剥	 2 冫 ㇒ 4 刂	
L3	38642	阜	3 2 5 1 5 1 十	
L3	38578	渗	氵 厶 大 ㇒ ㇒ ㇒	
L3	38414	戚	厂 2 二 小 6 ㇒ ㇏	
L3	37820	虞	2 1 5 3 七 口 1 大	
L3	37662	揽	扌 2 2 𠂉 ㇏ 2 5 儿	
L3	37312	襄	亠 口 口 1 艹 1 3 6 ㇒ ㇏	
L3	37307	雍	亠 6 6 3 亻 亠 龶	
L3	37156	镰	钅 广 丷 1 5 1 艹 八	
L3	37137	瞬	目 爫 冖 夕 1 6 2	
L3	36924	姨	女 1 5 1 5 人	
L3	36545	泻	氵 冖 1 5 1	
L3	36476	鳞	鱼 米 夕 1 6 2	
L3	36471	渴	氵 日 3 5 人 6	
L3	36126	轿	 ㇒ 大 3 2	
L3	35652	彪	2 1 5 3 七 几 ㇒ ㇒ ㇒	
L3	35448	舜	爫 冖 夕 1 6 2	
L3	33818	滇	氵 十 2 5 三 1 八	
L3	33554	馋	⺈ 6 ⺈ 口 儿 4 4	
L3	33475	疲	疒 5 3 2 又	
L3	33434	颠	十 2 5 三 1 八 1 3 贝	
L3	33284	镶	钅 亠 口 口 1 艹 1 3 6 ㇒ ㇏	
L3	33207	遣	口 2 1 2 5 1 5 1 辶	
L3	32484	甄	覀 土 1 6 ㇈ ㇏	
L3	32434	霾	 ㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 日 	
L3	31617	韧	二 5 2 刀 ㇏	
L3	31337	隶	5 二 2 冫 ㇒ 4	
L3	31050	沸	氵 5 1 5 3 2	
L3	30961	盏	二 6 ㇒ ㇏ 皿	
L3	30660	猿	犭 土 口 3 6 ㇒ ㇏	
L3	30614	殖	歹 十 2 5 三 1	
L3	30501	骤	马 1 2 2 三 又 ㇒ 2 ㇒ ㇒ ㇒ ㇏	
L3	29960	酬	西 1 ㇏ 八 2 ㇏ 2	
L3	29694	惧	忄 2 5 三 1 八	
L3	29693	萄	艹 3 5 𠂉 1 山	
L3	29552	颐	匚 2 口 2 1 3 贝	
L3	28468	焉	1  1 5 灬	
L3	28267	蕨	艹 厂 丷 1 6 2 3 ⺈ 人	
L3	27958	僵	亻 1 田 1 田 1	
L3	27936	卯	㇒ 6 3 卩	
L3	27887	碾	石 尸 艹 1 6 ㇒ ㇏	
L3	27654	毓	𠂉 6 5 亠 ㇏ 亠 厶 	
L3	27207	弧	弓 ㇒ 3 6 ㇏ ㇏	
L3	27178	畏	田 1 6 ㇒ ㇏	
L3	26593	戊	厂 6 ㇒ ㇏	
L3	26591	潇	氵 艹 5 𰀁 3 2 八	
L3	25689	剃	丷 5 1 5 2 3 刂	
L3	25492	挠	扌 1 6 ㇒ 1 儿	
L3	24937	褐	衤 日 3 5 人 6	
L3	24750	饵	⺈ 6 1 2 2 三	
L3	24685	宸	宀 厂 二 6 ㇒ ㇏	
L3	24440	掺	扌 厶 大 ㇒ ㇒ ㇒	
L3	24372	睇	目 丷 5 1 5 2 3	
L3	24018	泌	氵 ㇏ 6 ㇏ 八	
L3	23667	胰	月 1 5 1 5 人	
L3	23442	埠	土 3 2 5 1 5 1 十	
L3	22962	俭	亻 𠆢 1 ㇏ 丷 1	
L3	22445	啸	口 5 𰀁 3 2 八	
L3	22335	婕	女 1 5 𰀁 1 3 4	
L3	22331	衷	亠 口 2 3 6 ㇒ ㇏	
L3	22297	寡	宀 1 3 2 5 三 八 刀	
L3	22264	捣	扌 3 5 ㇏ 5 山	
L3	22105	滥	氵 2 2 𠂉 ㇏ 皿	
L3	22073	脓	月 冖 3 6 ㇒ ㇏	
L3	22002	漾	氵 丷 王 ㇏ 5 5 ㇒ ㇏	
L3	21931	舆	㇒ 2 二 车 5 二 1 八	
L3	21929	饲	⺈ 6 5 1 口	
L3	21608	朔	丷 1 6 2 3 月	
L3	21602	瀑	氵 日 艹 1 八 2 冫 ㇒ 4	
L3	21569	灸	3 5 ㇏ 火	
L3	21391	蹬	 5 ㇏ 3 3 ㇏ 1 口 丷 1	
L3	21320	裘	1 2 冫 ㇒ 4 ㇏ 衣	
L3	20691	侬	亻 冖 3 6 ㇒ ㇏	
L3	20683	胤	3 6 厶  6	
L3	20399	鸦	1 6 2 3 鸟	
L3	20380	瞪	目 5 ㇏ 3 3 ㇏ 1 口 丷 1	
L3	20376	骁	马 1 6 ㇒ 1 儿	
L3	20325	遛	㇒ 6 ㇏ 刀 田 辶	
L3	20152	胚	月 1 亻 4 1	
L3	20104	玖	王 3 5 ㇏	
L3	20043	辱	厂 二 6 ㇒ ㇏ 寸	
L3	19968	逮	5 二 2 冫 ㇒ 4 辶	
L3	19935	哑	口 1 2 ⺌ 1	
L3	19793	巅	山 十 2 5 三 1 八 1 3 贝	
L3	19646	叛	丷 二 3 ㇒ 3 又	
L3	19456	弼	弓 1 白 5 1 5	
L3	19282	娥	女 ㇒ 扌 6 ㇒ ㇏	
L3	19019	颅	2 1 尸 1 3 贝	
L3	18992	拂	扌 5 1 5 3 2	
L3	18898	馈	⺈ 6 口 2 1 贝	
L3	18823	耽	1 2 2 三 冖 儿	
L3	18763	麓	木 木 广 5 2 2 1 1 6 匕	
L3	18698	肆	1 2 三 厶 5 三 十	
L3	18627	蛾	虫 ㇒ 扌 6 ㇒ ㇏	
L3	18460	凿	2 ⺌ 1 丷 干 6 2	
L3	18415	泓	氵 5 1 5 厶	
L3	18318	菅	艹 宀 2 5 1 5 1	
L3	18021	憾	忄 厂 1 口 6 ㇒ ㇏ 心	
L3	17998	凳	5 ㇏ 3 3 ㇏ 1 口 丷 1 几	
L3	17979	槛	木 2 2 𠂉 ㇏ 皿	
L3	17883	溯	氵 丷 1 6 2 3 月	
L3	17832	疹	疒 𠆢 ㇒ ㇒ ㇒	
L3	17750	钝	钅 1 6 2 6	
L3	17517	颌	𠆢 1 口 1 3 贝	
L3	17495	褒	亠 亻 口 木 3 6 ㇒ ㇏	
L3	17468	缤	纟 宀 ㇒ 2 1 2 1 八	
L3	17421	歉	丷 1 5 1 艹 八 ⺈ 人	
L3	17279	犀	尸 2 冫 ㇒ 4 牛	
L3	17024	骄	马 ㇒ 大 3 2	
L3	17003	羯	丷 三 3 日 3 5 人 6	
L3	16955	竭	立 日 3 5 人 6	
L3	16858	蕙	艹 1 日 2 1 ㇏ 心	
L3	16758	臧	厂 6 1 3 匚 2 5 1 2 6 ㇒ ㇏	
L3	16635	耻	1 2 2 三 	
L3	16376	棺	木 宀 2 5 1 5 1	
L3	16347	撮	扌 日 1 2 2 三 又	
L3	16347	榄	木 2 2 𠂉 ㇏ 2 5 儿	
L3	16217	孵	㇒ 6 ㇏ 3 卩 ㇏ 爫 子	
L3	16079	拣	扌 1 6 5 八	
L3	15950	婊	女 龶 3 6 ㇒ ㇏	
L3	15721	咦	口 1 5 1 5 人	
L3	15626	懋	木 龴 5 2 3 木 心	
L3	15596	戌	厂 1 6 ㇒ ㇏	
L3	15564	膨	月 士 口 丷 1 ㇒ ㇒ ㇒	
L3	15452	彝	6 5 1 米 糸 𠂇 2	
