词	当前码	建议码	SUBTLEX拼音	SUBTLEX词频	处理建议
憎恶	zgee	zgwu	zeng1 wu4	99	第一批；应用前抽查并按基础词表原顺序重排新码位候选
着装	vevl	vovl	zhuo2 zhuang1	99	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重温	vswf	iswf	chong2 wen1	96	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血肉	xprz	xtrz	xue4 rou4	94	第一批；应用前抽查并按基础词表原顺序重排新码位候选
盛宴	igyj	ugyj	sheng4 yan4	93	第一批；应用前抽查并按基础词表原顺序重排新码位候选
村长	cyih	cyvh	cun1 zhang3	89	第一批；应用前抽查并按基础词表原顺序重排新码位候选
音调	ybtn	ybdn	yin1 diao4	89	第一批；应用前抽查并按基础词表原顺序重排新码位候选
贫血	pbxp	pbxt	pin2 xue4	86	第一批；应用前抽查并按基础词表原顺序重排新码位候选
外行	wdxk	wdhh	wai4 hang2	84	第一批；应用前抽查并按基础词表原顺序重排新码位候选
弹孔	tjks	djks	dan4 kong3	83	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血债	xpvd	xtvd	xue4 zhai4	81	第一批；应用前抽查并按基础词表原顺序重排新码位候选
调子	tnzi	dnzi	diao4 zi5	81	第一批；应用前抽查并按基础词表原顺序重排新码位候选
轻率	qklv	qkuk	qing1 shuai4	81	第一批；应用前抽查并按基础词表原顺序重排新码位候选
还原	hdyr	hryr	huan2 yuan2	81	第一批；应用前抽查并按基础词表原顺序重排新码位候选
削弱	xnro	xtro	xue1 ruo4	80	第一批；应用前抽查并按基础词表原顺序重排新码位候选
旺盛	whig	whug	wang4 sheng4	80	第一批；应用前抽查并按基础词表原顺序重排新码位候选
防弹	fhtj	fhdj	fang2 dan4	80	第一批；应用前抽查并按基础词表原顺序重排新码位候选
着魔	vemo	vcmo	zhao2 mo2	79	第一批；应用前抽查并按基础词表原顺序重排新码位候选
单调	djtn	djdn	dan1 diao4	77	第一批；应用前抽查并按基础词表原顺序重排新码位候选
咯咯	lolo	gege	ge1 ge1	77	第一批；应用前抽查并按基础词表原顺序重排新码位候选
熟知	uzvi	uuvi	shu2 zhi1	76	第一批；应用前抽查并按基础词表原顺序重排新码位候选
调度	tndu	dndu	diao4 du4	76	第一批；应用前抽查并按基础词表原顺序重排新码位候选
牲畜	ugxu	ugiu	sheng1 chu4	75	第一批；应用前抽查并按基础词表原顺序重排新码位候选
阻塞	zusd	zuse	zu3 se4	75	第一批；应用前抽查并按基础词表原顺序重排新码位候选
剥削	bcxn	boxt	bo1 xue1	73	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重生	vsug	isug	chong2 sheng1	73	第一批；应用前抽查并按基础词表原顺序重排新码位候选
显露	xmlz	xmlu	xian3 lu4	70	第一批；应用前抽查并按基础词表原顺序重排新码位候选
盛装	igvl	ugvl	sheng4 zhuang1	70	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血流	xplq	xtlq	xue4 liu2	70	第一批；应用前抽查并按基础词表原顺序重排新码位候选
长辈	ihbw	vhbw	zhang3 bei4	70	第一批；应用前抽查并按基础词表原顺序重排新码位候选
组长	zuih	zuvh	zu3 zhang3	68	第一批；应用前抽查并按基础词表原顺序重排新码位候选
输血	uuxp	uuxt	shu1 xue4	68	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重塑	vssu	issu	chong2 su4	68	第一批；应用前抽查并按基础词表原顺序重排新码位候选
着眼	veyj	voyj	zhuo2 yan3	66	第一批；应用前抽查并按基础词表原顺序重排新码位候选
膀胱	bhgl	phgl	pang2 guang1	66	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血脉	xpmd	xtmd	xue4 mai4	65	第一批；应用前抽查并按基础词表原顺序重排新码位候选
验血	yjxp	yjxt	yan4 xue4	64	第一批；应用前抽查并按基础词表原顺序重排新码位候选
差遣	iaqm	idqm	chai1 qian3	63	第一批；应用前抽查并按基础词表原顺序重排新码位候选
配角	pwjn	pwjt	pei4 jue2	63	第一批；应用前抽查并按基础词表原顺序重排新码位候选
慰藉	wwji	wwjp	wei4 jie4	61	第一批；应用前抽查并按基础词表原顺序重排新码位候选
熟睡	uzuv	uuuv	shu2 shui4	60	第一批；应用前抽查并按基础词表原顺序重排新码位候选
还手	hduz	hruz	huan2 shou3	60	第一批；应用前抽查并按基础词表原顺序重排新码位候选
