单字,字频序,相撞码,不让位表候选,综合表候选,综合表首选,二字词最高序,二字词,四字简词最高序,四字简词,处理动作,状态,裁决备注
嚅,4260,rujl,1,1,嚅,34314,儒将,,,retain_single,按发布候选顺序落实,
嚏,4262,tijl,1,1,嚏,50903,提奖,,,retain_single,按发布候选顺序落实,
嚓,4263,iajq,1,1,嚓,30664,查究,,,retain_single,按发布候选顺序落实,
嚭,4266,pipj,1,2,批判,3902,批判,,,word_first,按发布候选顺序落实,
嚯,4267,hojp,1,1,嚯,44430,活结,,,retain_single,按发布候选顺序落实,
囟,4269,xbqq,1,1,囟,48503,信球,,,retain_single,按发布候选顺序落实,
囷,4276,qyic,1,1,囷,47159,群嘲,,,retain_single,按发布候选顺序落实,
囿,4278,yzir,1,2,游船,13251,游船 油船 邮船,,,word_first,按发布候选顺序落实,
圃,4279,puil,1,2,铺床,16920,铺床,,,word_first,按发布候选顺序落实,
圄,4280,yuij,1,1,圄,33812,渔产 预产,,,retain_single,按发布候选顺序落实,
圊,4282,qkir,1,1,圊,51543,青川,,,retain_single,按发布候选顺序落实,
圜,4286,hrig,1,2,换成,17256,换成 换乘 环城,,,word_first,按发布候选顺序落实,
圜,4286,yrig,1,2,远程,4881,远程,,,word_first,按发布候选顺序落实,
坷,4314,kepn,1,2,客票,26251,客票,,,word_first,按发布候选顺序落实,
垌,4320,tspj,1,1,垌,52907,通判 通盘,,,retain_single,按发布候选顺序落实,
垏,4324,lvpd,1,1,垏,47338,旅拍,,,retain_single,按发布候选顺序落实,
垞,4330,iapg,1,1,垞,52903,茶棚,,,retain_single,按发布候选顺序落实,
垟,4331,yhpb,1,2,样品,10004,样品,,,word_first,按发布候选顺序落实,
垯,4339,dapo,1,2,打破,2091,打破,,,word_first,按发布候选顺序落实,
垱,4340,dhpd,1,2,党派,10861,党派,,,word_first,按发布候选顺序落实,
埏,4352,ujpo,1,2,山坡,7678,山坡,,,word_first,按发布候选顺序落实,
埗,4355,bupk,1,2,不平,11189,不平,,,word_first,按发布候选顺序落实,
墡,4405,ujpj,1,1,墡,58280,闪盘,,,retain_single,按发布候选顺序落实,
壅,4409,ysbp,1,1,壅,8516,永别,,,retain_single,按发布候选顺序落实,
夬,4418,gkzv,1,2,怪罪,19254,怪罪,,,word_first,按发布候选顺序落实,
奁,4421,lmve,1,2,连着,22733,连着,,,word_first,按发布候选顺序落实,
奭,4429,uibd,1,2,失败,790,失败,,,word_first,按发布候选顺序落实,
妘,4433,yymk,1,1,妘,48581,殒命,,,retain_single,按发布候选顺序落实,
妩,4437,wuma,1,1,妩,58469,无码,,,retain_single,按发布候选顺序落实,
妭,4440,bamd,1,2,把脉,18711,把脉,,,word_first,按发布候选顺序落实,
妯,4441,vzma,2,3,咒骂,10534,咒骂,,,word_first,按发布候选顺序落实,
姞,4449,jimj,1,2,挤满,10406,挤满 极慢,,,word_first,按发布候选顺序落实,
娓,4463,wwmh,1,1,娓,54458,微茫,,,retain_single,按发布候选顺序落实,
