汉字	分类	当前拆分	历史拆分	当前宿主序列	历史宿主序列
谴	canonical_host_equivalent	讠 ＋ 贵字头 ＋ 官字底 ＋ 辶	讠 ＋ 贵字头 ＋ 㠯 ＋ 辶	讠 ＋ 虫 ＋ 追字心 ＋ 辶	讠 ＋ 虫 ＋ 追字心 ＋ 辶
赓	accepted_manual_rule_semantics	广 ＋ 争字底 ＋ 人 ＋ 贝	广 ＋ 折 ＋ 夫 ＋ 贝	广 ＋ 争字底 ＋ 人 ＋ 见	广 ＋ 折 ＋ 大 ＋ 见
蹬	canonical_host_equivalent	足旁 ＋ 登字头 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	足旁 ＋ 癶 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	足 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横	足 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横
辚	canonical_host_equivalent	车旁 ＋ 米 ＋ 夕 ＋ 降下角	车旁 ＋ 米 ＋ 夕 ＋ 㐄	车 ＋ 米 ＋ 夕 ＋ 降下角	车 ＋ 米 ＋ 夕 ＋ 降下角
辨	accepted_frame_semantics	辡 ＋ 刂	辛 ＋ 刂	辛 ＋ 刀	辛 ＋ 刀
辩	accepted_frame_semantics	辡 ＋ 讠	辛 ＋ 讠	辛 ＋ 讠	辛 ＋ 讠
辫	accepted_frame_semantics	辡 ＋ 纟	辛 ＋ 纟	辛 ＋ 纟	辛 ＋ 纟
逄	canonical_host_equivalent	夂 ＋ 降下角 ＋ 辶	夂 ＋ 㐄 ＋ 辶	又 ＋ 降下角 ＋ 辶	又 ＋ 降下角 ＋ 辶
逭	canonical_host_equivalent	宀 ＋ 官字底 ＋ 辶	宀 ＋ 㠯 ＋ 辶	宀 ＋ 追字心 ＋ 辶	宀 ＋ 追字心 ＋ 辶
遣	canonical_host_equivalent	贵字头 ＋ 官字底 ＋ 辶	贵字头 ＋ 㠯 ＋ 辶	虫 ＋ 追字心 ＋ 辶	虫 ＋ 追字心 ＋ 辶
遴	canonical_host_equivalent	米 ＋ 夕 ＋ 降下角 ＋ 辶	米 ＋ 夕 ＋ 㐄 ＋ 辶	米 ＋ 夕 ＋ 降下角 ＋ 辶	米 ＋ 夕 ＋ 降下角 ＋ 辶
郪	accepted_manual_rule_semantics	横 ＋ 肀 ＋ 女 ＋ 阝	一 ＋ 折 ＋ 二 ＋ 丨 ＋ 女 ＋ 阝	横 ＋ 争字底 ＋ 女 ＋ 卩	横 ＋ 折 ＋ 二 ＋ 竖 ＋ 女 ＋ 卩
锇	accepted_manual_rule_semantics	钅 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	钅 ＋ 戈	钅 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	钅 ＋ 戈
镫	canonical_host_equivalent	钅 ＋ 登字头 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	钅 ＋ 癶 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	钅 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横	钅 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横
阕	canonical_host_equivalent	门 ＋ 登字头 ＋ 天	门 ＋ 癶 ＋ 天	匚 ＋ 夕 ＋ 大	匚 ＋ 夕 ＋ 大
降	canonical_host_equivalent	阝 ＋ 夂 ＋ 降下角	阝 ＋ 夂 ＋ 㐄	卩 ＋ 又 ＋ 降下角	卩 ＋ 又 ＋ 降下角
饿	accepted_manual_rule_semantics	饣 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	饣 ＋ 戈	饣 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	饣 ＋ 戈
馆	canonical_host_equivalent	饣 ＋ 宀 ＋ 官字底	饣 ＋ 宀 ＋ 㠯	饣 ＋ 宀 ＋ 追字心	饣 ＋ 宀 ＋ 追字心
骂	deferred_encoding_layer	口 ＋ 口 ＋ 马	口 ＋ 口	口 ＋ 口 ＋ 马	口 ＋ 口
骙	canonical_host_equivalent	马 ＋ 登字头 ＋ 天	马 ＋ 癶 ＋ 天	马 ＋ 夕 ＋ 大	马 ＋ 夕 ＋ 大
鳞	canonical_host_equivalent	鱼 ＋ 米 ＋ 夕 ＋ 降下角	鱼 ＋ 米 ＋ 夕 ＋ 㐄	鱼 ＋ 米 ＋ 夕 ＋ 降下角	鱼 ＋ 米 ＋ 夕 ＋ 降下角
鳤	canonical_host_equivalent	鱼 ＋ 竹头 ＋ 宀 ＋ 官字底	鱼 ＋ 竹头 ＋ 宀 ＋ 㠯	鱼 ＋ 竹 ＋ 宀 ＋ 追字心	鱼 ＋ 竹 ＋ 宀 ＋ 追字心
鹅	accepted_manual_rule_semantics	撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈 ＋ 鸟	戈 ＋ 鸟	撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈 ＋ 鸟	戈 ＋ 鸟
鹒	accepted_manual_rule_semantics	广 ＋ 争字底 ＋ 人 ＋ 鸟	广 ＋ 折 ＋ 夫 ＋ 鸟	广 ＋ 争字底 ＋ 人 ＋ 鸟	广 ＋ 折 ＋ 大 ＋ 鸟
麟	canonical_host_equivalent	鹿旁 ＋ 米 ＋ 夕 ＋ 降下角	鹿旁 ＋ 米 ＋ 夕 ＋ 㐄	鹿 ＋ 米 ＋ 夕 ＋ 降下角	鹿 ＋ 米 ＋ 夕 ＋ 降下角
鿍	canonical_host_equivalent	土 ＋ 夂 ＋ 降下角	土 ＋ 夂 ＋ 㐄	土 ＋ 又 ＋ 降下角	土 ＋ 又 ＋ 降下角
𬭸	canonical_host_equivalent	钅 ＋ 米 ＋ 夕 ＋ 降下角	钅 ＋ 米 ＋ 夕 ＋ 㐄	钅 ＋ 米 ＋ 夕 ＋ 降下角	钅 ＋ 米 ＋ 夕 ＋ 降下角
𬴊	canonical_host_equivalent	马 ＋ 米 ＋ 夕 ＋ 降下角	马 ＋ 米 ＋ 夕 ＋ 㐄	马 ＋ 米 ＋ 夕 ＋ 降下角	马 ＋ 米 ＋ 夕 ＋ 降下角
