词	码	词位	码位词数	一简字	拆开输入	键数	当量	低于1.4	08排名	虎码	同码其他词
我要	woyc	1	1	我	w␣yc␣	5	1.325	是	35735	0	
内人	nwrf	1	1	人	nw␣r␣	5	1.325	是	36951	438	
小村	xncy	1	1	小	x␣cy␣	5	1.325	是	38858	460	
发图	fatu	1	1	发	f␣tu␣	5	1.325	是	38997	64	
发面	famm	1	1	发	f␣mm␣	5	1.325	是	44198	227	
是么	uime	1	1	是	u␣me␣	5	1.325	是	45828	898	
看书	kjuu	1	2	看	k␣uu␣	5	1.325	是	48588	2335	砍树
那是	naui	3	3	是	na␣u␣	5	1.325	是	48835	12418	那时、纳什
会所	hvso	1	2	所	hv␣s␣	5	1.325	是	49618	618	回缩
发带	fadd	2	2	发	f␣dd␣	5	1.325	是	63502	321	发呆
小面	xnmm	1	3	小	x␣mm␣	5	1.325	是	64589	64	笑面、削面
小桌	xnvo	2	2	小	x␣vo␣	5	1.325	是	65949	66	小酌
所部	sobu	1	1	所	s␣bu␣	5	1.325	是	67463	0	
说和	uohe	1	2	和	uo␣h␣	5	1.325	是	69506	0	说合
这书	veuu	1	2	这	v␣uu␣	5	1.325	是	72363	69	谪戍
小图	xntu	2	2	小	x␣tu␣	5	1.325	是	76139	367	小兔
我可	woke	1	2	我	w␣ke␣	5	1.325	是	77727	4652	蜗壳
软和	rrhe	1	1	和	rr␣h␣	5	1.325	是	85087	268	
软和	rrho	1	1	和	rr␣h␣	5	1.325	是	85087	268	
藏有	chyz	1	1	有	ch␣y␣	5	1.325	是	89224	78	
小分	xnff	2	2	小	x␣ff␣	5	1.325	是	90254	59	小份
吃面	iimm	1	3	吃	i␣mm␣	5	1.325	是	95029	411	朝朝暮暮、缠缠绵绵
两个	llge	1	1	个	ll␣g␣	5	1.325	是	100042	21206	
发群	faqy	1	1	发	f␣qy␣	5	1.325	是	110750	61	
他娘	tanl	1	1	他	t␣nl␣	5	1.325	是	115076	66	
哈人	harf	1	1	人	ha␣r␣	5	1.325	是	123186	0	
草人	ccrf	1	1	人	cc␣r␣	5	1.325	是	124764	0	
那人	narf	1	1	人	na␣r␣	5	1.325	是	125696	2867	
黄发	hlfa	1	1	发	hl␣f␣	5	1.325	是	128597	49	
差人	iarf	1	1	人	ia␣r␣	5	1.325	是	130617	59	
差人	idrf	1	1	人	ia␣r␣	5	1.325	是	130617	59	
小群	xnqy	1	1	小	x␣qy␣	5	1.325	是	135662	337	
不二	buer	1	2	不	b␣er␣	5	1.325	是	137188	525	布尔
小成	xnig	2	2	小	x␣ig␣	5	1.325	是	145802	416	小城
小娘	xnnl	1	1	小	x␣nl␣	5	1.325	是	150285	59	
拍桌	pdvo	2	2	拍	p␣vo␣	5	1.325	是	152307	73	牌桌
鸟人	nnrf	1	1	人	nn␣r␣	5	1.325	是	176415	300	
没带	mwdd	1	2	没	m␣dd␣	5	1.325	是	182955	850	眉黛
就手	jquz	1	1	就	j␣uz␣	5	1.325	是	187219	246	
俩人	lxrf	1	1	人	lx␣r␣	5	1.325	是	188788	0	
吃坏	iihk	1	1	吃	i␣hk␣	5	1.325	是	210219	347	
小草	xncc	1	2	小	x␣cc␣	5	1.325	是	221739	1127	校草
让我	rhwo	1	1	我	rh␣w␣	5	1.325	是	223994	20863	
帮人	bhrf	1	1	人	bh␣r␣	5	1.325	是	258507	1151	
他么	tame	1	1	他	t␣me␣	5	1.325	是	277830	59	
有无	yzwu	1	2	有	y␣wu␣	5	1.325	是	292794	2571	有误
这户	vehu	2	2	这	v␣hu␣	5	1.325	是	293995	59	丈二和尚
有成	yzig	2	2	有	y␣ig␣	5	1.325	是	330457	1773	又称
爱我	aiwo	1	1	我	ai␣w␣	5	1.325	是	344614	4638	
其所	qiso	1	1	所	qi␣s␣	5	1.325	是	364885	1697	
也没	yemw	1	2	没	ye␣m␣	5	1.325	是	420489	14623	页眉
小火	xnho	2	2	小	x␣ho␣	5	1.325	是	444078	468	小伙
不出	buiu	1	3	不	b␣iu␣	5	1.325	是	504496	9056	步出、不胜传说
人天	rftm	1	1	人	r␣tm␣	5	1.325	是	505432	707	
没声	mwug	2	2	没	m␣ug␣	5	1.325	是	520770	63	美声
你走	nizz	1	2	你	n␣zz␣	5	1.325	是	535656	59	逆臣贼子
就用	jqys	1	1	就	j␣ys␣	5	1.325	是	544026	1158	
没下	mwxx	1	1	没	m␣xx␣	5	1.325	是	588615	59	
刷人	uxrf	2	2	人	ux␣r␣	5	1.325	是	611710	59	耍人
组人	zurf	2	2	人	zu␣r␣	5	1.325	是	640367	295	族人
而谈	ertj	1	1	而	e␣tj␣	5	1.325	是	641500	59	
也才	yecd	2	2	才	ye␣c␣	5	1.325	是	712988	550	野菜
发下	faxx	2	2	发	f␣xx␣	5	1.325	是	797571	520	罚下
而让	errh	1	1	而	e␣rh␣	5	1.325	是	854844	508	
全看	qrkj	1	1	看	qr␣k␣	5	1.325	是	888750	59	
能拍	ngpd	1	1	拍	ng␣p␣	5	1.325	是	972179	59	
谁没	uwmw	1	1	没	uw␣m␣	5	1.325	是	980607	59	
下个	xxge	1	1	个	xx␣g␣	5	1.325	是	1000255	1143	
不该	bugd	1	3	不	b␣gd␣	5	1.325	是	1000377	4241	不改、不是个省油的灯
人呢	rfne	1	1	人	r␣ne␣	5	1.325	是	1002016	1822	
人呢	rfni	1	1	人	r␣ne␣	5	1.325	是	1002016	1822	
人若	rfro	2	2	人	r␣ro␣	5	1.325	是	1002043	59	荏弱
会有	hvyz	1	2	有	hv␣y␣	5	1.325	是	1002390	12847	会友
加在	jxzd	3	3	在	jx␣z␣	5	1.325	是	1005620	557	加载、夹在
卡在	kazd	1	1	在	ka␣z␣	5	1.325	是	1006265	768	
发去	faqu	1	1	发	f␣qu␣	5	1.325	是	1006849	386	
叫了	jnle	1	1	了	jn␣l␣	5	1.325	是	1007153	2912	
可吃	keii	2	2	吃	ke␣i␣	5	1.325	是	1007207	73	可耻
吃下	iixx	1	1	吃	i␣xx␣	5	1.325	是	1007330	793	
吃桌	iivo	1	1	吃	i␣vo␣	5	1.325	是	1007362	59	
吃草	iicc	1	1	吃	i␣cc␣	5	1.325	是	1007375	490	
在做	zdzo	2	2	在	z␣zo␣	5	1.325	是	1008951	59	在座
多有	doyz	1	1	有	do␣y␣	5	1.325	是	1009603	1251	
好有	hcyz	2	2	有	hc␣y␣	5	1.325	是	1010245	59	好友
如有	ruyz	1	2	有	ru␣y␣	5	1.325	是	1010344	1858	乳油
对你	dvni	1	1	你	dv␣n␣	5	1.325	是	1011115	5841	
并有	bkyz	1	3	有	bk␣y␣	5	1.325	是	1012257	573	并由、病友
弄个	nsge	1	1	个	ns␣g␣	5	1.325	是	1012606	516	
当有	dhyz	1	2	有	dh␣y␣	5	1.325	是	1012871	59	荡悠
很是	hfui	1	2	是	hf␣u␣	5	1.325	是	1013061	3401	恨事
我吗	woma	1	1	我	w␣ma␣	5	1.325	是	1014376	59	
所能	song	1	1	所	s␣ng␣	5	1.325	是	1014570	394	
找了	vcle	1	3	了	vc␣l␣	5	1.325	是	1014978	226	招了、着了
拍下	pdxx	1	1	拍	p␣xx␣	5	1.325	是	1015527	3000	
拍成	pdig	2	2	拍	p␣ig␣	5	1.325	是	1015545	347	排成
早了	zcle	2	2	了	zc␣l␣	5	1.325	是	1017798	0	糟了
是做	uizo	3	3	是	u␣zo␣	5	1.325	是	1017991	59	视作、诗作
更不	ggbu	1	2	不	gg␣b␣	5	1.325	是	1018248	3187	狗改不了吃屎
没去	mwqu	1	2	没	m␣qu␣	5	1.325	是	1020247	1042	没趣
法拍	fapd	2	2	拍	fa␣p␣	5	1.325	是	1020409	367	发牌
满了	mjle	1	2	了	mj␣l␣	5	1.325	是	1021105	5091	慢了
炸了	vale	1	1	了	va␣l␣	5	1.325	是	1021512	898	
用在	yszd	1	2	在	ys␣z␣	5	1.325	是	1022825	1176	欲速则不达
略有	ltyz	1	1	有	lt␣y␣	5	1.325	是	1023017	1323	
看呀	kjya	2	2	看	k␣ya␣	5	1.325	是	1023474	65	看押
看谁	kjuw	1	1	看	k␣uw␣	5	1.325	是	1023516	731	
秒了	mnle	1	1	了	mn␣l␣	5	1.325	是	1024266	62	
能吃	ngii	1	1	吃	ng␣i␣	5	1.325	是	1026359	1367	
长有	vhyz	1	2	有	vh␣y␣	5	1.325	是	1032049	588	长幼
随了	svle	2	2	了	sv␣l␣	5	1.325	是	1032415	68	碎了
就是	jqui	1	2	就是	j␣u␣	4	1.333	是	459	65992	九十
有的	yzde	1	2	有的	y␣d␣	4	1.333	是	589	19762	由得
小小	xnxn	1	3	小小	x␣x␣	4	1.333	是	1288	6465	笑笑、潇潇
不是	buui	1	3	不是	b␣u␣	4	1.333	是	2466	61200	不适、捕食
小吃	xnii	1	1	小吃	x␣i␣	4	1.333	是	4870	790	
拍拍	pdpd	1	2	拍拍	p␣p␣	4	1.333	是	6367	1671	屁颠屁颠
有才	yzcd	1	2	有才	y␣c␣	4	1.333	是	47146	768	油菜
啊哦	aaoo	1	1	啊哦	a␣o␣	4	1.333	是	57954	222	
不在	buzd	2	2	不在	b␣z␣	4	1.333	是	64080	9997	不再
发小	faxn	2	2	发小	f␣x␣	4	1.333	是	74304	540	发笑
我不	wobu	1	1	我不	w␣b␣	4	1.333	是	78913	59	
他才	tacd	1	2	他才	t␣c␣	4	1.333	是	108351	1768	她才
才人	cdrf	1	1	才人	c␣r␣	4	1.333	是	113204	62	
这番	vefj	1	2	这	v␣fjhp␣	7	1.333	是	170483	1420	折返
看人	kjrf	1	1	看人	k␣r␣	4	1.333	是	170775	1005	
我就	wojq	1	1	我就	w␣j␣	4	1.333	是	173590	0	
你是	niui	2	2	你是	n␣u␣	4	1.333	是	326415	59	逆势
有个	yzge	1	1	有个	y␣g␣	4	1.333	是	348884	9407	
这是	veui	1	2	这是	v␣u␣	4	1.333	是	647984	29133	这时
他没	tamw	1	1	他没	t␣m␣	4	1.333	是	788820	59	
是啊	uiaa	1	1	是啊	u␣a␣	4	1.333	是	937894	466	
他啊	taaa	1	1	他啊	t␣a␣	4	1.333	是	1002202	59	
他的	tade	1	3	他的	t␣d␣	4	1.333	是	1002214	49228	她的、它的
就在	jqzd	1	2	就在	j␣z␣	4	1.333	是	1011510	13776	救灾
才是	cdui	1	2	才是	c␣u␣	4	1.333	是	1014664	9937	踩屎
没吃	mwii	1	2	没吃	m␣i␣	4	1.333	是	1020249	1277	迷雾重重
看在	kjzd	2	2	看在	k␣z␣	4	1.333	是	1023480	131	刊载
看番	kjfj	1	2	看	k␣fjhp␣	7	1.333	是	1023504	0	砍翻
不管	bugr	1	2	不	b␣grh␣	6	1.34	是	208	11455	不关
是否	uifz	1	1	是	u␣fzp␣	6	1.34	是	336	15217	
除了	iule	1	2	了	iuy␣l␣	6	1.34	是	351	12711	出了
具有	juyz	1	2	有	juq␣y␣	6	1.34	是	728	10706	居右
在于	zdyu	1	1	在	z␣yuc␣	6	1.34	是	896	5805	
哪个	nage	2	2	个	nat␣g␣	6	1.34	是	1026	8518	那个
或是	houi	1	3	是	hov␣u␣	6	1.34	是	1063	3190	伙食、火势
小子	xnzi	1	2	小	x␣zip␣	6	1.34	是	1088	4228	孝子
在意	zdyi	1	1	在	z␣yid␣	6	1.34	是	1850	5166	
新人	xbrf	2	3	人	xbj␣r␣	6	1.34	是	2222	2747	信任、洗白弱三分
有意	yzyi	2	3	有	y␣yid␣	6	1.34	是	3042	4331	友谊、优异
在场	zdih	1	1	在	z␣ihq␣	6	1.34	是	3133	3300	
小丑	xniz	1	3	小	x␣izb␣	6	1.34	是	3355	870	消愁、笑抽
不利	buli	2	2	不	b␣lin␣	6	1.34	是	3392	2111	不理
犯人	fjrf	2	3	人	fjo␣r␣	6	1.34	是	3747	947	凡人、烦人
发抖	fadz	1	1	发	f␣dzo␣	6	1.34	是	3949	1890	
有机	yzji	1	3	有	y␣jiw␣	6	1.34	是	4169	3381	邮寄、游击
世人	uirf	3	3	人	uir␣r␣	6	1.34	是	4280	2287	使人、诗人
在线	zdxm	1	2	在	z␣xmi␣	6	1.34	是	4318	2396	再现
凡是	fjui	1	3	是	fjn␣u␣	6	1.34	是	4739	2512	凡事、反噬
熟人	uurf	1	2	人	uue␣r␣	6	1.34	是	4982	1372	熟稔
突发	tufa	1	2	发	tuj␣f␣	6	1.34	是	5032	1150	土法
掀起	xmqi	1	3	起	xmo␣q␣	6	1.34	是	5211	2102	嫌弃、限期
国有	goyz	1	1	有	goj␣y␣	6	1.34	是	5725	2415	
便是	bmui	1	4	是	bmk␣u␣	6	1.34	是	6905	20516	辨识、便士、鞭尸
理发	lifa	2	2	发	lir␣f␣	6	1.34	是	6925	767	立法
迷你	mini	1	1	你	miz␣n␣	6	1.34	是	7552	585	
兴起	xkqi	2	2	起	xky␣q␣	6	1.34	是	7605	1083	星期
起源	qiyr	1	2	起	q␣yra␣	6	1.34	是	8539	1023	祈愿
小巷	xnhh	1	1	小	x␣xlm␣	6	1.34	是	8810	1075	
小巷	xnxl	1	2	小	x␣xlm␣	6	1.34	是	8810	1075	肖像
凡人	fjrf	1	3	人	fjn␣r␣	6	1.34	是	8860	1566	犯人、烦人
难吃	njii	1	1	吃	njq␣i␣	6	1.34	是	8936	478	
人马	rfma	1	1	人	r␣mav␣	6	1.34	是	9155	2287	
唤起	hrqi	1	3	起	hrt␣q␣	6	1.34	是	9749	703	换气、换妻
在世	zdui	1	1	在	z␣uir␣	6	1.34	是	9863	2197	
偷看	tzkj	1	1	看	tzk␣k␣	6	1.34	是	10115	880	
有线	yzxm	4	4	有	y␣xmi␣	6	1.34	是	10255	400	有限、优先、悠闲
救人	jqrf	1	2	人	jqp␣r␣	6	1.34	是	10345	1221	就任
小宝	xnbc	2	2	小	x␣bcj␣	6	1.34	是	10420	823	小包
看护	kjhu	1	1	看	k␣huo␣	6	1.34	是	10807	491	
起舞	qiwu	1	2	起	q␣wuk␣	6	1.34	是	10928	918	前尘往事
竖起	uuqi	2	2	起	uul␣q␣	6	1.34	是	11090	1121	暑期
独有	duyz	1	1	有	duo␣y␣	6	1.34	是	11447	776	
看管	kjgr	1	2	看	k␣grh␣	6	1.34	是	11926	472	看官
这笔	vebi	2	2	这	v␣bih␣	6	1.34	是	12949	1120	遮蔽
小船	xnir	1	2	小	x␣ire␣	6	1.34	是	13167	1191	哮喘
闲人	xmrf	3	3	人	xmn␣r␣	6	1.34	是	13833	527	仙人、现任
私有	siyz	1	2	有	sin␣y␣	6	1.34	是	14066	1470	似有
不乏	bufa	2	2	不	b␣faf␣	6	1.34	是	14255	1020	步伐
小狗	xngz	1	1	小	x␣gzo␣	6	1.34	是	14266	1296	
互不	hubu	2	2	不	hup␣b␣	6	1.34	是	14500	768	互补
抒发	uufa	2	2	发	uuo␣f␣	6	1.34	是	14653	457	书法
恩人	enrf	1	1	人	enj␣r␣	6	1.34	是	14691	675	
喷发	pffa	1	1	发	pft␣f␣	6	1.34	是	15394	553	
仙人	xmrf	1	3	人	xmk␣r␣	6	1.34	是	15455	1050	现任、闲人
不符	bufu	1	3	不	b␣fuh␣	6	1.34	是	15764	1956	不服、不负
各人	gerf	2	2	人	geq␣r␣	6	1.34	是	16628	951	个人
个案	gean	1	2	个	g␣anj␣	6	1.34	是	16654	851	隔岸
小于	xnyu	2	3	小	x␣yuc␣	6	1.34	是	17043	877	小雨、血浓于水
人种	rfvs	1	1	人	r␣vsn␣	6	1.34	是	17134	516	
有损	yzsy	1	1	有	y␣syo␣	6	1.34	是	17750	696	
不胜	buug	1	1	不	b␣ugz␣	6	1.34	是	18037	1380	
奇才	qicd	2	3	才	qiy␣c␣	6	1.34	是	18082	532	器材、七彩
发廊	falh	1	3	发	f␣lhc␣	6	1.34	是	18106	251	法郎、珐琅
拍子	pdzi	2	2	拍	p␣zip␣	6	1.34	是	19624	397	牌子
我党	wodh	1	1	我	w␣dhj␣	6	1.34	是	20052	341	
公有	gsyz	2	2	有	gsl␣y␣	6	1.34	是	20297	812	共有
不俗	busu	1	1	不	b␣suk␣	6	1.34	是	20980	690	
神人	ufrf	1	2	人	ufd␣r␣	6	1.34	是	21221	585	瘆人
寡人	gxrf	1	2	人	gxj␣r␣	6	1.34	是	22127	636	瓜仁
恼人	ncrf	1	1	人	ncv␣r␣	6	1.34	是	22626	296	
人犯	rffj	1	2	人	r␣fjo␣	6	1.34	是	23216	722	人贩
有神	yzuf	1	3	有	y␣ufd␣	6	1.34	是	23639	1041	幽深、影子输入法
在编	zdbm	1	2	在	z␣bmi␣	6	1.34	是	26900	337	灾变
就义	jqyi	3	3	就	j␣yia␣	6	1.34	是	26940	253	就医、酒意
编发	bmfa	2	2	发	bmi␣f␣	6	1.34	是	31135	198	变法
人防	rffh	1	1	人	r␣fhy␣	6	1.34	是	31558	295	
发昏	fahy	1	1	发	f␣hyz␣	6	1.34	是	32050	311	
小编	xnbm	2	2	小	x␣bmi␣	6	1.34	是	32145	480	小便
不均	bujy	1	1	不	b␣jyq␣	6	1.34	是	34323	553	
在任	zdrf	1	2	在	z␣rfk␣	6	1.34	是	34762	1061	载人
岂不	qibu	1	2	不	qih␣b␣	6	1.34	是	35189	1770	起步
小数	xnuu	1	2	小	x␣uuz␣	6	1.34	是	36656	435	小树
拍掌	pdvh	2	2	拍	p␣vhj␣	6	1.34	是	36755	386	排长
发端	fadr	1	1	发	f␣drj␣	6	1.34	是	37072	253	
起脚	qijn	1	1	起	q␣jnz␣	6	1.34	是	38007	580	
郑和	vghe	2	2	和	vgl␣h␣	6	1.34	是	38720	396	整合
滥发	ljfa	1	2	发	lja␣f␣	6	1.34	是	42573	330	滥伐
达人	darf	3	3	人	day␣r␣	6	1.34	是	43296	895	大人、打人
已有	yiyz	1	2	有	yiv␣y␣	6	1.34	是	43310	2205	亦有
有数	yzuu	1	1	有	y␣uuz␣	6	1.34	是	45058	1232	
发蜡	fala	1	1	发	f␣lag␣	6	1.34	是	45312	228	
发簪	fazj	1	1	发	f␣zjh␣	6	1.34	是	54012	351	
吃瓜	iigx	1	1	吃	i␣gxh␣	6	1.34	是	58624	64	
人保	rfbc	1	1	人	r␣bck␣	6	1.34	是	62144	0	
人脉	rfmd	1	2	人	r␣mdz␣	6	1.34	是	63457	1303	任脉
发泡	fapc	1	2	发	f␣pca␣	6	1.34	是	65247	265	发炮
寻人	xyrf	1	1	人	xyp␣r␣	6	1.34	是	65322	337	
竞拍	jkpd	1	1	拍	jkj␣p␣	6	1.34	是	65842	411	
摆拍	bdpd	1	1	拍	bdo␣p␣	6	1.34	是	68066	367	
零和	lkhe	1	1	和	lkl␣h␣	6	1.34	是	69921	345	
小床	xnil	2	2	小	x␣ilc␣	6	1.34	是	69993	347	小窗
保人	bcrf	1	1	人	bck␣r␣	6	1.34	是	72960	797	
吃食	iiui	2	3	吃	i␣uiw␣	6	1.34	是	77282	540	吃屎、驰骋沙场
小鹏	xnpg	1	1	小	x␣pgz␣	6	1.34	是	77327	202	
湖人	hurf	2	3	人	hua␣r␣	6	1.34	是	87282	384	唬人、胡人
不饿	buee	1	1	不	b␣eew␣	6	1.34	是	89333	0	
哦豁	ooho	1	1	哦	o␣hoj␣	6	1.34	是	90592	59	
抬起	tdqi	1	2	起	tdo␣q␣	6	1.34	是	91634	4363	胎气
小寒	xnhj	1	2	小	x␣hjj␣	6	1.34	是	91946	333	霄汉
小楷	xnkd	1	1	小	x␣kdw␣	6	1.34	是	94736	255	
摘发	vdfa	1	1	发	vdo␣f␣	6	1.34	是	96818	0	
小官	xngr	1	1	小	x␣grj␣	6	1.34	是	99576	358	
不美	bumw	1	1	不	b␣mwr␣	6	1.34	是	101104	59	
翻拍	fjpd	2	3	拍	fjh␣p␣	6	1.34	是	102393	210	反派、饭拍
你唱	niih	2	2	你	n␣iht␣	6	1.34	是	105826	59	霓裳
起皮	qipi	2	2	起	q␣pig␣	6	1.34	是	111139	65	漆皮
良人	llrf	2	2	人	lla␣r␣	6	1.34	是	116168	581	两人
小屯	xnty	1	1	小	x␣typ␣	6	1.34	是	116734	59	
宣发	xrfa	1	1	发	xrj␣f␣	6	1.34	是	120108	367	
有界	yzjp	2	2	有	y␣jpp␣	6	1.34	是	123876	62	游街
吃屁	iipi	1	1	吃	i␣pib␣	6	1.34	是	132565	60	
不吭	bukg	1	1	不	b␣kgt␣	6	1.34	是	137594	512	
没网	mwwh	1	2	没	m␣whn␣	6	1.34	是	138767	500	美网
人精	rfjk	1	1	人	r␣jkz␣	6	1.34	是	144585	565	
这名	vemk	1	1	这	v␣mkr␣	6	1.34	是	153691	1440	
有否	yzfz	1	1	有	y␣fzp␣	6	1.34	是	160414	358	
不急	buji	2	3	不	b␣jig␣	6	1.34	是	164762	1311	不及、补给
这招	vevc	1	2	这	v␣vco␣	6	1.34	是	167865	543	遮罩
参拍	cjpd	1	1	拍	cjh␣p␣	6	1.34	是	169726	307	
发贴	fatp	3	3	发	f␣tpj␣	6	1.34	是	174881	48	发帖、法帖
小虫	xnis	1	1	小	x␣isg␣	6	1.34	是	178208	495	
看雪	kjxt	1	1	看	k␣xtl␣	6	1.34	是	211541	340	
闻人	wfrf	2	2	人	wfn␣r␣	6	1.34	是	266186	325	文人
没数	mwuu	2	2	没	m␣uuz␣	6	1.34	是	269551	63	美术
这道	vedc	1	3	这	v␣dcl␣	6	1.34	是	293998	1260	这倒、折刀
这倒	vedc	2	3	这	v␣dck␣	6	1.34	是	323404	958	这道、折刀
所需	soxu	1	1	所	s␣xul␣	6	1.34	是	346810	1897	
这串	veir	1	1	这	v␣irt␣	6	1.34	是	351456	65	
倘有	thyz	1	1	有	thk␣y␣	6	1.34	是	353857	270	
骇人	hdrf	2	2	人	hdv␣r␣	6	1.34	是	356870	772	害人
倒不	dcbu	1	1	不	dck␣b␣	6	1.34	是	385069	172	
逼人	birf	1	2	人	bip␣r␣	6	1.34	是	417647	808	鄙人
和数	heuu	1	2	和	h␣uuz␣	6	1.34	是	428467	555	合数
不薄	bubo	1	1	不	b␣bom␣	6	1.34	是	504636	66	
晨起	ifqi	1	1	起	ifb␣q␣	6	1.34	是	517849	73	
看招	kjvc	1	1	看	k␣vco␣	6	1.34	是	521142	60	
没啥	mwua	1	1	没	m␣uat␣	6	1.34	是	553032	865	
私我	siwo	1	1	我	sin␣w␣	6	1.34	是	593554	60	
而至	ervi	1	1	而	e␣vig␣	6	1.34	是	598209	1506	
唱起	ihqi	2	2	起	iht␣q␣	6	1.34	是	616912	677	长期
都没	dzmw	1	1	没	dun␣m␣	6	1.34	是	648901	6285	
他都	tadz	1	1	他	t␣dun␣	6	1.34	是	677906	197	
挺小	tkxn	1	1	小	tko␣x␣	6	1.34	是	743569	59	
不收	buuz	1	2	不	b␣uzb␣	6	1.34	是	784448	933	部首
所提	soti	1	1	所	s␣tio␣	6	1.34	是	798234	0	
吃腻	iini	1	1	吃	i␣niz␣	6	1.34	是	897174	250	
作了	zole	3	3	了	zok␣l␣	6	1.34	是	1002635	2346	做了、作乐
偷了	tzle	1	2	了	tzk␣l␣	6	1.34	是	1003244	445	投了
写在	xpzd	2	2	在	xpj␣z␣	6	1.34	是	1004227	1402	卸载
准有	vyyz	1	1	有	vya␣y␣	6	1.34	是	1004436	53	
包在	bczd	1	1	在	bcn␣z␣	6	1.34	是	1005739	468	
匿了	nile	2	2	了	nin␣l␣	6	1.34	是	1005789	61	腻了
吃啥	iiua	1	2	吃	i␣uat␣	6	1.34	是	1007345	66	痴傻
吼了	hzle	1	2	了	hzt␣l␣	6	1.34	是	1007817	59	厚了
在否	zdfz	1	2	在	z␣fzp␣	6	1.34	是	1008958	61	坐地分赃
宅在	vdzd	1	1	在	vdj␣z␣	6	1.34	是	1010795	65	
寄了	jile	3	3	了	jij␣l␣	6	1.34	是	1011049	105	急了、极了
录了	lule	2	2	了	lup␣l␣	6	1.34	是	1012879	77	露了
慢吃	mjii	1	1	吃	mjv␣i␣	6	1.34	是	1014253	59	
慢的	mjde	1	1	的	mjv␣d␣	6	1.34	是	1014271	59	
懂了	dsle	1	1	了	dsv␣l␣	6	1.34	是	1014305	1588	
所托	soto	1	1	所	s␣too␣	6	1.34	是	1014536	59	
所犯	sofj	1	1	所	s␣fjo␣	6	1.34	是	1014552	558	
所赐	soci	1	1	所	s␣cij␣	6	1.34	是	1014588	540	
打我	dawo	1	1	我	dao␣w␣	6	1.34	是	1014740	59	
抱起	bcqi	1	3	起	bco␣q␣	6	1.34	是	1015340	1211	暴起、爆气
损人	syrf	1	2	人	syo␣r␣	6	1.34	是	1016163	418	缩阳入腹
搞了	gcle	2	2	了	gco␣l␣	6	1.34	是	1016660	431	高了
撞了	vlle	2	2	了	vlo␣l␣	6	1.34	是	1016902	367	装了
散了	sjle	1	1	了	sjm␣l␣	6	1.34	是	1017267	2125	
整了	vgle	1	1	了	vgy␣l␣	6	1.34	是	1017385	59	
是啥	uiua	1	2	是	u␣uat␣	6	1.34	是	1017999	546	嗜杀
是嘛	uima	2	2	是	u␣mat␣	6	1.34	是	1018002	59	是吗
有啥	yzua	1	2	有	y␣uat␣	6	1.34	是	1018616	663	诱杀
睡了	uvle	1	1	了	uvb␣l␣	6	1.34	是	1023676	2736	
记在	jizd	2	2	在	jif␣z␣	6	1.34	是	1028371	1428	记载
败在	bdzd	2	2	在	bdj␣z␣	6	1.34	是	1028944	83	摆在
贴在	tpzd	1	1	在	tpj␣z␣	6	1.34	是	1029003	1753	
赚了	vrle	1	1	了	vrj␣l␣	6	1.34	是	1029141	907	
足有	zuyz	1	1	有	zus␣y␣	6	1.34	是	1029540	1153	
躲在	dozd	1	2	在	dop␣z␣	6	1.34	是	1029958	2846	多灾
陪我	pwwo	1	1	我	pwy␣w␣	6	1.34	是	1032372	2696	
需在	xuzd	1	2	在	xul␣z␣	6	1.34	是	1032695	433	须在
一个	yige	1	2	个	yi␣g␣	5	1.35	是	69	105148	一哥
可是	keui	1	2	是	ke␣u␣	5	1.35	是	75	29640	科室
小心	xnxb	1	2	小	x␣xb␣	5	1.35	是	396	7236	孝心
出发	iufa	1	3	发	iu␣f␣	5	1.35	是	523	3865	处罚、触发
发出	faiu	1	2	发	f␣iu␣	5	1.35	是	1217	10702	发怵
这时	veui	2	2	这	v␣ui␣	5	1.35	是	1249	9925	这是
早起	zcqi	2	2	起	zc␣q␣	5	1.35	是	1487	1438	早期
不够	bugz	1	2	不	b␣gz␣	5	1.35	是	1747	6791	不苟
没用	mwys	1	1	没	m␣ys␣	5	1.35	是	1840	2557	
人群	rfqy	1	1	人	r␣qy␣	5	1.35	是	1956	4616	
大小	daxn	1	3	小	da␣x␣	5	1.35	是	2298	5417	大笑、打消
某人	mzrf	1	1	人	mz␣r␣	5	1.35	是	2709	1556	
发射	faue	1	1	发	f␣ue␣	5	1.35	是	2876	1532	
有用	yzys	1	2	有	y␣ys␣	5	1.35	是	2915	2595	游泳
不满	bumj	1	3	不	b␣mj␣	5	1.35	是	3215	4582	布满、不胜枚举
成人	igrf	2	2	人	ig␣r␣	5	1.35	是	3436	2321	承认
早就	zcjq	1	2	就	zc␣j␣	5	1.35	是	3632	7057	造就
不对	budv	1	2	不	b␣dv␣	5	1.35	是	3702	5942	部队
不明	bumk	1	1	不	b␣mk␣	5	1.35	是	4464	4147	
走人	zzrf	1	1	人	zz␣r␣	5	1.35	是	6668	808	
每人	mwrf	3	4	人	mw␣r␣	5	1.35	是	7210	1425	没人、美人、媒人
有心	yzxb	1	2	有	y␣xb␣	5	1.35	是	7765	2640	忧心
出没	iumo	2	3	没	iu␣m␣	5	1.35	是	8361	813	触摸、除魔
抓起	vxqi	1	1	起	vx␣q␣	5	1.35	是	8373	1485	
不说	buuo	1	1	不	b␣uo␣	5	1.35	是	10669	6688	
法人	farf	1	2	人	fa␣r␣	5	1.35	是	11832	3420	发轫
