词	码	词位	码位词数	一简字	拆开输入	键数	当量	低于1.4	08排名	虎码	同码其他词
错看	cokj	1	1	看	co␣k␣	5	1.225	是	1031953	221	
长了	ihle	1	2	了	vh␣l␣	5	1.225	是	1032028	183	尝了
长了	vhle	2	2	了	vh␣l␣	5	1.225	是	1032028	183	涨了
看看	kjkj	1	1	看看	k␣k␣	4	1.233	是	67	11917	
了了	lnln	3	3	了了	l␣l␣	4	1.233	是	346707	1121	聊聊、寥寥
就看	jqkj	1	1	就看	j␣k␣	4	1.233	是	369216	3122	
这你	veni	1	1	这你	v␣n␣	4	1.233	是	647922	59	
不看	bukj	2	2	不看	b␣k␣	4	1.233	是	654231	1558	不堪
看了	kjle	1	1	看了	k␣l␣	4	1.233	是	1023460	14001	
人家	rfjx	1	1	人	r␣jxj␣	6	1.24	是	480	10061	
家人	jxrf	1	2	人	jxj␣r␣	6	1.24	是	647	6420	佳人
不仅	bujb	1	2	不	b␣jbk␣	6	1.24	是	696	8706	不禁
引起	ybqi	1	4	起	ybb␣q␣	6	1.24	是	880	6171	阴气、永葆青春、也不清楚
发布	fabu	1	1	发	f␣buc␣	6	1.24	是	1052	3962	
拍摄	pdue	1	1	拍	p␣ueo␣	6	1.24	是	1493	2140	
我家	wojx	1	1	我	w␣jxj␣	6	1.24	是	2315	3491	
就业	jqye	1	2	就	j␣yen␣	6	1.24	是	2957	3523	酒业
发泄	faxp	1	2	发	f␣xpa␣	6	1.24	是	3429	1638	罚写
看病	kjbk	1	1	看	k␣bkc␣	6	1.24	是	4308	1012	
不妨	bufh	1	3	不	b␣fhs␣	6	1.24	是	4467	2133	不放、别说废话
发掘	fajt	2	2	发	f␣jto␣	6	1.24	是	4493	877	发觉
启发	qifa	1	2	发	qib␣f␣	6	1.24	是	4931	1068	齐发
假发	jxfa	2	2	发	jxk␣f␣	6	1.24	是	5646	351	加法
不愧	bukv	1	2	不	b␣kvv␣	6	1.24	是	7035	1110	不亏
看守	kjuz	1	1	看	k␣uzj␣	6	1.24	是	7534	1123	
发霉	famw	1	1	发	f␣mwl␣	6	1.24	是	8325	510	
害人	hdrf	1	2	人	hdj␣r␣	6	1.24	是	9497	2380	骇人
弱小	roxn	1	1	小	rob␣x␣	6	1.24	是	11354	1108	
佣人	ysrf	1	2	人	ysk␣r␣	6	1.24	是	11826	1050	用人
调和	tnhe	1	1	和	dnf␣h␣	6	1.24	是	12563	922	
