根	音节	字对	位置	首末同时	权重	字1分读音频次	字2分读音频次	字1整字频次排名	字2整字频次排名	字1待分配	字2待分配
艹	bo	勃—菠	首根	False	200	1811	200	1513	2854	145	0
艹	bo	博—菠	首根	False	200	8650	200	686	2854	383	0
艹	jie	截—芥	首根	False	187	1200	187	1832	2804	0	40
艹	cai	蔡—裁	首根	False	115	115	1971	3198	1509	1	1
艹	yu	芋—郁	首根	False	79	79	1254	3409	1808	0	3
艹	jie	截—藉	首根	False	61	1200	61	1832	2685	0	127
艹	bei	孛—蓓	首根	False	56	56	60	3609	3396	0	21
艹	hui	灰—茴	首根	False	42	2115	42	1467	3777	25	0
艹	shi	十—莳	首根	False	30	13921	30	468	3901	810	2
艹	ji	戟—蓟	首根	False	29	29	33	3952	3888	0	0
艹	ji	戟—藉	首根	False	29	29	98	3952	2685	0	127
艹	xian	献—藓	首根	False	25	2258	25	1437	4017	6	1
艹	hui	卉—茴	首根	False	22	22	42	4057	3777	1	0
艹	wo	斡—莴	首根	False	20	20	49	4124	3703	0	0
艹	qian	乾—茜	首根	False	19	101	19	3253	1810	5	1164
艹	you	友—莜	首根	True	17	40103	17	204	4198	46	0
艹	you	右—莜	首根	False	17	4782	17	1018	4198	1	0
艹	you	有—莜	首根	False	17	533518	17	13	4198	113	0
艹	hui	卉—荟	首根	False	11	22	11	4057	4382	1	0
艹	hui	灰—荟	首根	False	11	2115	11	1467	4382	25	0
艹	ben	苯—贲	首根	False	8	156	8	3030	4509	0	0
艹	qian	乾—荨	首根	False	8	101	8	3253	4348	5	0
艹	suo	索—莎	首根	False	4	8213	4	709	1055	419	2476
艹	yu	萸—郁	首根	False	4	4	1254	4753	1808	0	3
艹	ji	戟—荠	首根	False	3	29	3	3952	4680	0	2
艹	suo	索—蓑	首根	False	3	8213	3	709	4838	419	0
艹	shi	十—蓍	首根	False	2	13921	2	468	4966	810	0
艹	gan	尴—苷	首根	False	1	1257	1	1807	5169	0	0
艹	xian	献—苋	首根	False	1	2258	1	1437	5164	6	0
艹	you	友—莠	首根	False	1	40103	1	204	5174	46	0
艹	you	右—莠	首根	False	1	4782	1	1018	5174	1	0
艹	you	有—莠	首根	False	1	533518	1	13	5174	113	0
艹	zhi	支—芷	首根	False	1	11692	1	563	5163	5	0
艹	zhi	直—芷	首根	False	1	46159	1	178	5163	4	0
艹	bo	勃—蕃	首根	False	0	1811	0	1513	3712	145	48
艹	bo	博—蕃	首根	False	0	8650	0	686	3712	383	48
