root	from	to	hard1500x10000	hard3500x2000	full1500	full3500	full6000	short1500	short3500	three1500	three3500
皮	v	x	0	5	0	21	192	0	3	1339	2637
皮	v	y	0	5	0	21	192	0	3	1339	2637
皮	v	z	0	5	0	21	192	0	3	1339	2637
击	t	v	0	5	0	21	192	0	3	1339	2637
击	t	x	0	5	0	21	192	0	3	1339	2637
牙	d	m	0	5	0	21	192	0	3	1339	2637
牙	d	t	0	5	0	21	192	0	3	1339	2637
民	n	a	0	5	0	21	192	0	3	1339	2637
民	n	b	0	5	0	21	192	0	3	1339	2637
民	n	c	0	5	0	21	192	0	3	1339	2637
民	n	d	0	5	0	21	192	0	3	1339	2637
民	n	f	0	5	0	21	192	0	3	1339	2637
民	n	j	0	5	0	21	192	0	3	1339	2637
民	n	l	0	5	0	21	192	0	3	1339	2637
民	n	m	0	5	0	21	192	0	3	1339	2637
民	n	o	0	5	0	21	192	0	3	1339	2637
民	n	s	0	5	0	21	192	0	3	1339	2637
民	n	t	0	5	0	21	192	0	3	1339	2637
民	n	u	0	5	0	21	192	0	3	1339	2637
民	n	w	0	5	0	21	192	0	3	1339	2637
民	n	x	0	5	0	21	192	0	3	1339	2637
民	n	y	0	5	0	21	192	0	3	1339	2637
民	n	z	0	5	0	21	192	0	3	1339	2637
瓦	g	a	0	5	0	21	192	0	3	1339	2637
瓦	g	c	0	5	0	21	192	0	3	1339	2637
瓦	g	d	0	5	0	21	192	0	3	1339	2637
瓦	g	f	0	5	0	21	192	0	3	1339	2637
瓦	g	h	0	5	0	21	192	0	3	1339	2637
瓦	g	i	0	5	0	21	192	0	3	1339	2637
瓦	g	l	0	5	0	21	192	0	3	1339	2637
瓦	g	m	0	5	0	21	192	0	3	1339	2637
瓦	g	p	0	5	0	21	192	0	3	1339	2637
瓦	g	y	0	5	0	21	192	0	3	1339	2637
鬲	y	a	0	5	0	21	192	0	3	1339	2637
鬲	y	b	0	5	0	21	192	0	3	1339	2637
鬲	y	e	0	5	0	21	192	0	3	1339	2637
鬲	y	g	0	5	0	21	192	0	3	1339	2637
鬲	y	h	0	5	0	21	192	0	3	1339	2637
鬲	y	k	0	5	0	21	192	0	3	1339	2637
鬲	y	m	0	5	0	21	192	0	3	1339	2637
鬲	y	q	0	5	0	21	192	0	3	1339	2637
鬲	y	u	0	5	0	21	192	0	3	1339	2637
鬲	y	v	0	5	0	21	192	0	3	1339	2637
鬲	y	z	0	5	0	21	192	0	3	1339	2637
骨	z	v	0	5	0	21	192	0	3	1339	2637
乐	y	b	0	5	0	21	192	0	3	1339	2637
乐	y	c	0	5	0	21	192	0	3	1339	2637
乐	y	d	0	5	0	21	192	0	3	1339	2637
乐	y	e	0	5	0	21	192	0	3	1339	2637
乐	y	g	0	5	0	21	192	0	3	1339	2637
乐	y	h	0	5	0	21	192	0	3	1339	2637
乐	y	i	0	5	0	21	192	0	3	1339	2637
乐	y	j	0	5	0	21	192	0	3	1339	2637
乐	y	k	0	5	0	21	192	0	3	1339	2637
乐	y	m	0	5	0	21	192	0	3	1339	2637
乐	y	n	0	5	0	21	192	0	3	1339	2637
乐	y	p	0	5	0	21	192	0	3	1339	2637
乐	y	q	0	5	0	21	192	0	3	1339	2637
乐	y	r	0	5	0	21	192	0	3	1339	2637
乐	y	s	0	5	0	21	192	0	3	1339	2637
乐	y	t	0	5	0	21	192	0	3	1339	2637
乐	y	u	0	5	0	21	192	0	3	1339	2637
乐	y	v	0	5	0	21	192	0	3	1339	2637
乐	y	w	0	5	0	21	192	0	3	1339	2637
乐	y	z	0	5	0	21	192	0	3	1339	2637
丘	y	d	0	5	0	21	192	0	3	1339	2637
丘	y	j	0	5	0	21	192	0	3	1339	2637
丘	y	q	0	5	0	21	192	0	3	1339	2637
丘	y	u	0	5	0	21	192	0	3	1339	2637
丘	y	x	0	5	0	21	192	0	3	1339	2637
丘	y	z	0	5	0	21	192	0	3	1339	2637
单	o	f	0	5	0	21	192	0	3	1339	2637
单	o	j	0	5	0	21	192	0	3	1339	2637
单	o	x	0	5	0	21	192	0	3	1339	2637
单	o	z	0	5	0	21	192	0	3	1339	2637
长	j	b	0	5	0	21	192	0	3	1339	2637
长	j	d	0	5	0	21	192	0	3	1339	2637
长	j	l	0	5	0	21	192	0	3	1339	2637
长	j	q	0	5	0	21	192	0	3	1339	2637
长	j	u	0	5	0	21	192	0	3	1339	2637
长	j	y	0	5	0	21	192	0	3	1339	2637
永	o	a	0	5	0	21	192	0	3	1339	2637
永	o	b	0	5	0	21	192	0	3	1339	2637
永	o	g	0	5	0	21	192	0	3	1339	2637
永	o	h	0	5	0	21	192	0	3	1339	2637
永	o	m	0	5	0	21	192	0	3	1339	2637
永	o	s	0	5	0	21	192	0	3	1339	2637
永	o	u	0	5	0	21	192	0	3	1339	2637
永	o	w	0	5	0	21	192	0	3	1339	2637
永	o	y	0	5	0	21	192	0	3	1339	2637
九	p	a	0	5	0	21	192	0	3	1339	2637
九	p	d	0	5	0	21	192	0	3	1339	2637
之	t	g	0	5	0	21	192	0	3	1339	2637
之	t	j	0	5	0	21	192	0	3	1339	2637
之	t	v	0	5	0	21	192	0	3	1339	2637
之	t	y	0	5	0	21	192	0	3	1339	2637
之	t	z	0	5	0	21	192	0	3	1339	2637
专	n	g	0	5	0	21	193	0	3	1339	2637
专	n	x	0	5	0	21	193	0	3	1339	2637
臣	o	b	0	5	0	21	193	0	3	1339	2637
臣	o	j	0	5	0	21	193	0	3	1339	2637
臣	o	q	0	5	0	21	193	0	3	1339	2637
禸	n	a	0	5	0	21	193	0	3	1339	2637
禸	n	k	0	5	0	21	193	0	3	1339	2637
禸	n	l	0	5	0	21	193	0	3	1339	2637
禸	n	o	0	5	0	21	193	0	3	1339	2637
佥	a	p	0	5	0	21	193	0	3	1339	2637
夷	e	f	0	5	0	21	193	0	3	1339	2637
殳	w	c	0	5	0	21	193	0	3	1339	2637
殳	w	d	0	5	0	21	193	0	3	1339	2637
殳	w	o	0	5	0	21	193	0	3	1339	2637
殳	w	p	0	5	0	21	193	0	3	1339	2637
勿	n	y	0	5	0	21	193	0	3	1339	2637
矢	a	i	0	5	0	21	193	0	3	1339	2637
兔	a	e	0	5	0	21	193	0	3	1339	2637
兔	a	n	0	5	0	21	193	0	3	1339	2637
丽	o	n	0	5	0	21	193	0	3	1339	2637
儿	r	c	0	5	0	21	193	0	3	1339	2637
来	k	c	0	5	0	21	193	0	3	1339	2637
来	k	i	0	5	0	21	193	0	3	1339	2637
来	k	n	0	5	0	21	193	0	3	1339	2637
来	k	u	0	5	0	21	193	0	3	1339	2637
商	o	p	0	5	0	21	193	0	3	1339	2637
商	o	q	0	5	0	21	193	0	3	1339	2637
商	o	r	0	5	0	21	193	0	3	1339	2637
商	o	s	0	5	0	21	193	0	3	1339	2637
示	p	l	0	5	0	21	193	0	3	1339	2637
今	z	w	0	5	0	21	193	0	3	1339	2637
予	o	l	0	5	0	21	193	0	3	1339	2637
及	m	k	0	5	0	21	193	0	3	1339	2637
甫	g	v	0	5	0	21	193	0	3	1339	2637
付	j	x	0	5	0	21	193	0	3	1339	2637
卵	k	b	0	5	0	21	193	0	3	1339	2637
无	v	f	0	5	0	21	193	0	3	1339	2637
鹿	p	a	0	5	0	21	193	0	3	1339	2637
鹿	p	b	0	5	0	21	193	0	3	1339	2637
束	b	o	0	5	0	21	193	0	3	1339	2637
尧	k	o	0	5	0	21	193	0	3	1339	2637
尧	k	r	0	5	0	21	193	0	3	1339	2637
尧	k	t	0	5	0	21	193	0	3	1339	2637
居	o	g	0	5	0	21	193	0	3	1339	2637
居	o	u	0	5	0	21	193	0	3	1339	2637
乃	r	w	0	5	0	21	193	0	3	1339	2637
黑	j	p	0	5	0	21	193	0	3	1339	2637
黑	j	y	0	5	0	21	193	0	3	1339	2637
莫	b	a	0	5	0	21	193	0	3	1339	2637
莫	b	d	0	5	0	21	193	0	3	1339	2637
民	n	h	0	5	0	21	193	0	3	1339	2637
民	n	i	0	5	0	21	193	0	3	1339	2637
民	n	p	0	5	0	21	193	0	3	1339	2637
民	n	q	0	5	0	21	193	0	3	1339	2637
民	n	r	0	5	0	21	193	0	3	1339	2637
瓦	g	t	0	5	0	21	193	0	3	1339	2637
瓦	g	w	0	5	0	21	193	0	3	1339	2637
瓦	g	z	0	5	0	21	193	0	3	1339	2637
鬲	y	c	0	5	0	21	193	0	3	1339	2637
