moves	hard_old	hard_new	full1500	full3500	full6000	short1500	short3500	three1500	three3500	score
土:r>m 巾:a>r 月:w>v 田:o>n 艹:f>p	1	0	1	43	241	0	10	1338	2608	4014760
亻:e>o 忄:p>q 月:w>t 田:o>s 艹:f>p	1	0	1	43	251	0	10	1318	2578	4015910
亻:e>o 忄:p>q 月:w>t 田:o>q 艹:f>p	1	0	1	43	252	0	10	1317	2571	4016005
亻:e>o 巾:a>b 月:w>v 田:o>n 艹:f>e	1	0	1	43	242	0	11	1322	2578	4016770
土:r>q 忄:p>g 月:w>v 田:o>n 艹:f>p	1	0	1	43	233	0	12	1339	2612	4016940
土:r>m 忄:p>q 月:w>t 田:o>n 艹:f>w	1	0	1	44	244	0	6	1341	2624	4011320
土:r>m 巾:a>q 月:w>v 田:o>n 艹:f>p	1	0	1	44	236	0	10	1338	2608	4016160
土:r>m 巾:a>o 月:w>v 田:o>n 艹:f>p	1	0	1	44	240	0	11	1338	2610	4017430
亻:e>o 忄:p>q 月:w>t 田:o>y 艹:f>p	1	0	1	44	254	0	11	1319	2578	4018630
亻:e>o 巾:a>s 月:w>v 田:o>n 艹:f>e	1	0	1	44	247	0	12	1322	2574	4019590
土:r>m 忄:p>q 月:w>v 田:o>n 艹:f>w	1	0	1	45	235	0	8	1343	2621	4014975
土:r>m 巾:a>x 月:w>v 田:o>n 艹:f>p	1	0	1	45	242	0	10	1338	2611	4017765
土:r>s 忄:p>q 月:w>t 木:s>a 艹:f>p	1	0	1	45	245	0	12	1336	2613	4020295
亻:e>o 忄:p>q 月:w>v 田:o>q 艹:f>p	1	0	1	45	241	0	12	1319	2568	4021120
亻:e>o 忄:p>q 月:w>v 田:o>y 艹:f>p	1	0	1	46	243	0	13	1321	2575	4023745
土:r>s 忄:p>q 月:w>v 木:s>a 艹:f>p	1	0	1	47	237	0	14	1338	2610	4025470
土:r>q 忄:p>t 月:w>v 田:o>n 艹:f>p	1	0	1	47	249	0	14	1338	2609	4025715
土:r>m 忄:p>q 月:w>t 木:s>g 艹:f>p	1	0	1	48	249	0	10	1331	2600	4022740
土:r>q 忄:p>g 月:w>t 木:s>a 艹:f>p	1	0	1	48	253	0	12	1332	2595	4025205
土:r>m 忄:p>q 月:w>v 木:s>g 艹:f>p	1	0	1	49	241	0	12	1333	2597	4026415
土:r>q 忄:p>t 月:w>t 田:o>n 艹:f>p	1	0	1	49	263	0	13	1335	2609	4027915
亻:e>o 巾:a>r 月:w>v 田:o>n 艹:f>b	1	0	1	49	302	0	14	1315	2555	4030965
土:r>q 忄:p>g 月:w>t 田:o>n 艹:f>s	1	0	1	50	277	0	12	1335	2590	4028590
