root	from	to	contribution	hard	full1500	full3500	full6000	short1500	short3500	three1500	three3500	soft	pinky	left	peak	peak_key
束	b	j	0.06773895329966469	0	0	21	191	0	3	1339	2638	70.49250000000033	10.460222684484457	54.32174529586554	8.098482622851263	l
韦	k	h	0.044128159617794364	0	0	21	191	0	3	1339	2638	70.84000000000036	10.460222684484457	54.38948424916521	8.098482622851263	l
鸟	s	j	0.1110388518618757	0	0	21	191	0	3	1339	2638	70.97750000000042	10.460222684484457	54.27844539730333	8.098482622851263	l
耂	i	c	0.5665169202588258	0	0	21	192	0	3	1339	2638	69.94000000000023	10.460222684484457	54.95600116942403	8.098482622851263	l
至	n	v	0.4594622951513982	0	0	21	192	0	3	1339	2638	70.28000000000034	10.460222684484457	54.848946544316604	8.098482622851263	l
臣	o	k	0.020559639529970378	0	0	21	192	0	3	1339	2638	70.29000000000032	10.460222684484457	54.38948424916521	8.098482622851263	l
井	b	i	0.086089975993972	0	0	21	192	0	3	1339	2638	70.31500000000032	10.460222684484457	54.303394273171236	8.098482622851263	l
里	v	y	0.44329205058447957	0	0	21	192	0	3	1339	2638	70.39000000000033	10.460222684484457	53.946192198580725	8.098482622851263	l
臣	o	h	0.020559639529970378	0	0	21	192	0	3	1339	2638	70.40500000000033	10.460222684484457	54.38948424916521	8.098482622851263	l
甫	g	s	0.019731735380903375	0	0	21	192	0	3	1339	2638	70.42500000000031	10.460222684484457	54.38948424916521	8.098482622851263	l
井	b	h	0.086089975993972	0	0	21	192	0	3	1339	2638	70.43500000000034	10.460222684484457	54.303394273171236	8.098482622851263	l
耂	i	m	0.5665169202588258	0	0	21	192	0	3	1339	2638	70.44000000000034	10.460222684484457	54.38948424916521	8.098482622851263	l
辛	s	j	0.022076274114872087	0	0	21	192	0	3	1339	2638	70.46250000000033	10.460222684484457	54.367407975050334	8.098482622851263	l
井	b	y	0.086089975993972	0	0	21	192	0	3	1339	2638	70.46500000000034	10.460222684484457	54.303394273171236	8.098482622851263	l
