root	from	to	contribution	hard	full1500	full3500	full6000	short1500	short3500	three1500	three3500	soft	pinky	left	peak	peak_key
秉	o	u	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	v	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	w	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	x	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	y	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
秉	o	z	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	a	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	b	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	c	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	d	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	e	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	f	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	g	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	h	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	i	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	j	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	k	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	l	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	m	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	n	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	o	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	p	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	q	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	r	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	s	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	t	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	u	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	w	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	x	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	y	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
皮	v	z	0.0	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乐	y	m	0.03598587280730144	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
乐	y	n	0.03598587280730144	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
专	n	p	0.07592367232932232	0	0	21	193	0	3	1339	2636	70.01000000000022	11.39998706610441	55.253324958455835	8.098482622851263	l
来	k	p	0.48834023588883585	0	0	21	193	0	3	1339	2636	70.01000000000022	11.812403629663924	55.253324958455835	8.098482622851263	l
鬲	y	e	0.015112710730867316	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.2684376691867	8.098482622851263	l
鬲	y	a	0.015112710730867316	0	0	21	193	0	3	1339	2636	70.01000000000022	11.339176104505956	55.2684376691867	8.098482622851263	l
鬲	y	q	0.015112710730867316	0	0	21	193	0	3	1339	2636	70.01000000000022	11.339176104505956	55.2684376691867	8.098482622851263	l
暴	p	b	0.018047533186580644	0	0	21	193	0	3	1339	2636	70.01000000000022	11.306015860588507	55.27137249164242	8.098482622851263	l
暴	p	r	0.018047533186580644	0	0	21	193	0	3	1339	2636	70.01000000000022	11.306015860588507	55.27137249164242	8.098482622851263	l
