word	code	source	thuocl_df	xinhua	keep_reason	corpus_source_count	corpus_total_count	idiom_dual	ime_dual
报仇雪恨	bixh	简单鹤	200	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	211	1	1
等额选举	dexj	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	211	0	0
风雨如晦	fyrh	简单鹤	220	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	210	1	1
栋梁之才	dlvc	简单鹤	976	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源	2	209	1	0
五色缤纷	wsbf	简单鹤		1	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	209	0	1
疑难重症	ynvv	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq;输入法双源	2	209	0	1
宇宙速度	yvsd	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	209	0	0
养育之恩	yyve	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	208	0	0
从此之后	ccvh	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	207	0	0
高分低能	gfdn	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	207	0	0
唯才是举	wcuj	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq;输入法双源	2	207	0	1
指桑骂槐	vsmh	简单鹤	238	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	206	1	1
等米下锅	dmxg	简单鹤	212	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	206	1	1
多谢多谢	dxdx	简单鹤		0	真实语料:dialogue_word_freq,multi_domain_total_word_freq	2	206	0	0
攻城拔寨	gibv	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	206	0	0
诚诚恳恳	iikk	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	206	0	1
团结友善	tjyu	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	206	0	0
无怨无仇	wywi	简单鹤		0	真实语料:literature_word_freq,multi_domain_total_word_freq	2	206	0	0
咕嘟咕嘟	gdgd	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	205	0	0
毫不理会	hblh	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	205	0	0
人才外流	rcwl	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	205	0	0
政治学家	vvxj	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	205	0	0
子宫颈癌	zgja	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	205	0	0
教学相长	jxxi	简单鹤	604	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	204	1	1
宽宏大量	khdl	简单鹤	298	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	204	1	1
地痞流氓	dplm	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	204	0	1
贪大求全	tdqq	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq;输入法双源	2	204	0	1
言听计从	ytjc	简单鹤	1045	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	203	1	1
痴人说梦	irum	简单鹤	1012	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	203	1	1
大得人心	ddrx	简单鹤	44	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源	2	203	1	0
