汉字	原始总频	已分配频率	待分配频率
墉	0	0	0
墐	0	0	0
墒	0	0	0
墓	1449	1449	0
墕	0	0	0
墘	0	0	0
墙	3300	3294	6
墚	0	0	0
增	2270	2269	1
墟	172	172	0
墡	0	0	0
墣	0	0	0
墦	0	0	0
墨	3159	3081	78
墩	112	110	2
墼	0	0	0
壁	1747	1739	8
壅	1	1	0
壑	10	10	0
壕	86	86	0
壤	194	194	0
士	31972	31702	270
壬	14	14	0
壮	1974	1973	1
声	18259	18180	79
壳	1002	771	231
壶	383	336	47
壸	0	0	0
壹	14	14	0
处	28742	28686	56
备	27669	27667	2
复	13042	13006	36
夏	3691	3530	161
夐	0	0	0
夔	0	0	0
夕	474	472	2
外	31747	31688	59
夙	26	26	0
多	104049	103144	905
夜	9438	9438	0
够	23259	23232	27
夤	0	0	0
夥	146	146	0
大	135159	132824	2335
天	127053	126873	180
太	80890	80877	13
夫	23773	22440	1333
夬	0	0	0
夭	138	138	0
央	891	890	1
夯	2	2	0
失	28189	28189	0
头	49069	48823	246
夷	720	720	0
夸	1406	1406	0
夹	1901	1810	91
夺	2672	2668	4
夼	0	0	0
奁	1	1	0
奂	29	28	1
奄	133	133	0
奇	17952	14970	2982
奈	1450	1300	150
奉	1326	1324	2
奋	3784	3781	3
奎	697	548	149
奏	2153	2020	133
契	828	705	123
奓	0	0	0
奔	1170	1170	0
奕	93	91	2
奖	5791	5695	96
套	7409	7408	1
奘	1	0	1
奚	51	51	0
奠	70	70	0
奡	0	0	0
奢	387	387	0
奥	8691	6906	1785
奭	0	0	0
女	76693	76665	28
奴	1224	1218	6
奶	8037	8033	4
奸	1854	1677	177
她	230468	230468	0
好	412760	412704	56
妁	0	0	0
如	113103	112124	979
妃	214	214	0
妄	740	740	0
妆	1424	1424	0
妇	3851	3833	18
妈	79529	70522	9007
妊	63	60	3
妍	243	226	17
妒	1424	1424	0
妓	1709	1709	0
妖	677	677	0
妗	0	0	0
妘	0	0	0
妙	3967	3967	0
妞	1772	1768	4
妣	0	0	0
妤	0	0	0
妥	979	979	0
妧	0	0	0
妨	768	768	0
妩	21	21	0
妪	5	5	0
妫	0	0	0
妭	0	0	0
妮	4937	4168	769
妯	2	2	0
妲	73	73	0
妹	9193	9180	13
妻	8809	8809	0
妾	49	49	0
姆	9868	8110	1758
