汉字	拼音	旧频率	新已分配频率	变化	该字待分配频率
思	si	33940	33874	-66	981
怡	yi	95	85	-10	15
性	xing	28027	28018	-9	84
总	zong	29797	29782	-15	18
恩	en	12132	12124	-8	1241
恭	gong	3613	3612	-1	2
恶	e	11049	11103	54	18
恶	wu	1359	1330	-29	18
恺	kai	250	243	-7	38
悬	xuan	873	875	2	1
情	qing	69192	69196	4	83
惠	hui	894	890	-4	150
愎	bi	4	3	-1	1
愚	yu	2720	2721	1	0
感	gan	60999	61023	24	31
愠	yun	2	3	1	0
懒	lan	869	891	22	0
戈	ge	1549	1543	-6	249
戏	xi	11205	11206	1	88
成	cheng	61149	61182	33	166
我	wo	2056878	2058928	2050	52
战	zhan	18474	18466	-8	45
戛	ga	0	42	42	0
戛	jia	50	8	-42	0
戳	chuo	486	488	2	0
所	suo	100415	100414	-1	30
手	shou	75536	75507	-29	101
才	cai	46019	46025	6	19
扎	za	165	112	-53	1115
扎	zha	982	1334	352	1115
打	da	79197	79238	41	24
托	tuo	15283	15315	32	962
扳	ban	505	520	15	66
把	ba	126643	126645	2	236
折	zhe	3729	3738	9	18
抚	fu	1208	1215	7	0
抱	bao	26803	26802	-1	1
抹	mo	230	296	66	571
拉	la	26916	27079	163	3928
拎	lin	0	87	87	0
拜	bai	14624	14610	-14	112
拦	lan	1023	1029	6	0
拨	bo	1616	1615	-1	2
择	ze	9166	9173	7	93
括	kuo	2500	2501	1	1
挨	ai	950	953	3	0
捆	kun	335	331	-4	4
捋	lv	0	2	2	12
捕	bu	5410	5203	-207	207
捧	peng	267	268	1	6
掉	diao	23704	23814	110	6
排	pai	10672	10684	12	0
掠	lve	207	211	4	81
掳	lu	62	67	5	0
掺	chan	270	271	1	0
提	ti	22454	22566	112	1366
搅	jiao	1111	993	-118	199
搜	sou	4115	4116	1	103
搞	gao	18577	18598	21	1
摆	bai	4212	4155	-57	60
摩	mo	3871	3735	-136	1781
撒	sa	6944	6938	-6	157
攒	cuan	5	4	-1	120
支	zhi	11693	11692	-1	5
攻	gong	4561	4560	-1	2
放	fang	46512	46507	-5	21
政	zheng	8173	8146	-27	40
敏	min	2541	2538	-3	180
敬	jing	3768	3765	-3	79
数	shu	14599	14603	4	151
文	wen	13156	13259	103	937
斋	zhai	74	78	4	0
斐	fei	258	244	-14	41
斗	dou	6308	6311	3	17
料	liao	8497	8501	4	26
斯	si	47769	47701	-68	14181
方	fang	52656	52651	-5	92
施	shi	3148	3145	-3	119
无	wu	50572	50577	5	335
日	ri	23018	23029	11	122
时	shi	162578	162577	-1	36
昊	hao	64	50	-14	18
昌	chang	225	221	-4	11
明	ming	69570	69368	-202	381
易	yi	11712	11713	1	236
星	xing	20943	20942	-1	32
春	chun	2034	2030	-4	30
昭	zhao	111	108	-3	105
是	shi	1171408	1171848	440	250
普	pu	7330	7339	9	1438
智	zhi	4306	4302	-4	47
暗	an	5167	5176	9	0
暮	mu	72	69	-3	3
曝	bao	0	296	296	20
曝	pu	316	20	-296	20
曹	cao	280	278	-2	6
曼	man	4656	4655	-1	1116
曾	zeng	134	135	1	5083
朋	peng	32779	32780	1	63
服	fu	24252	24247	-5	32
朗	lang	2418	2413	-5	555
朝	chao	3300	3299	-1	87
朝	zhao	267	243	-24	87
期	qi	18032	18048	16	95
木	mu	4805	4798	-7	126
本	ben	40625	40623	-2	440
术	shu	12674	12677	3	167
朱	zhu	1243	1238	-5	165
朵	duo	1805	1803	-2	28
权	quan	10254	10253	-1	31
杉	shan	2583	2595	12	400
李	li	2772	2750	-22	160
杜	du	2150	2146	-4	362
来	lai	377760	377736	-24	179
杨	yang	312	313	1	11
杰	jie	11482	11479	-3	1662
松	song	8960	8959	-1	96
板	ban	8315	8296	-19	58
果	guo	91381	91388	7	83
枪	qiang	21673	21731	58	1
架	jia	7976	7972	-4	51
柏	bai	63	86	23	715
柏	bo	593	542	-51	715
柔	rou	1542	1540	-2	2
柜	gui	1884	1934	50	43
查	cha	26326	28302	1976	2782
查	zha	0	11	11	2782
柯	ke	1408	1407	-1	338
栅	zha	189	192	3	85
标	biao	9568	9570	2	2
栋	dong	1088	1089	1	4
树	shu	4895	4892	-3	33
校	xiao	12996	13011	15	31
样	yang	161385	160857	-528	556
核	he	2264	2322	58	464
根	gen	18642	18641	-1	263
格	ge	17180	17252	72	2225
桂	gui	237	233	-4	7
桃	tao	1187	1204	17	15
桌	zhuo	3641	3643	2	10
桑	sang	1920	1903	-17	463
桢	zhen	1	0	-1	1
梅	mei	2228	2226	-2	752
梓	zi	24	30	6	0
梦	meng	11047	11048	1	35
梵	fan	168	160	-8	9
棍	gun	1359	1366	7	0
棕	zong	900	903	3	2
森	sen	5283	5418	135	1537
楠	nan	47	62	15	28
楼	lou	9161	9162	1	14
概	gai	5528	5532	4	0
模	mo	7963	7374	-589	540
模	mu	659	730	71	540
檐	yan	112	105	-7	8
次	ci	58105	58087	-18	21
欧	ou	3373	3372	-1	306
歇	xie	1450	1451	1	71
歌	ge	13839	13841	2	27
正	zheng	57127	57134	7	81
武	wu	6438	6442	4	74
死	si	71154	71155	1	101
段	duan	9295	9575	280	2
殷	yan	1	0	-1	18
殷	yin	55	56	1	18
母	mu	15555	15556	1	0
比	bi	49322	49537	215	2301
毕	bi	4553	4552	-1	72
毛	mao	6470	6473	3	14
氏	shi	493	494	1	399
气	qi	28328	28314	-14	21
水	shui	21725	21758	33	35
永	yong	12667	12669	2	87
汉	han	4161	4298	137	576
汗	han	1453	1472	19	65
江	jiang	760	759	-1	21
汤	tang	2958	3757	799	764
沃	wo	3000	3027	27	734
沅	yuan	55	54	-1	3
沉	chen	3343	3345	2	2
沙	sha	5430	5438	8	245
没	mei	290643	291690	1047	41
没	mo	2150	2149	-1	41
沥	li	63	47	-16	16
河	he	3445	3447	2	24
油	you	10520	10513	-7	40
治	zhi	11609	11650	41	290
泊	bo	157	107	-50	149
泊	po	28	78	50	149
法	fa	60287	60286	-1	464
泡	pao	2733	2738	5	9
波	bo	6615	6627	12	714
泮	pan	11	8	-3	3
泰	tai	3555	3557	2	607
泽	ze	1573	1616	43	119
洁	jie	2040	2036	-4	127
洋	yang	2157	2158	1	67
洗	xi	7623	7646	23	574
洙	zhu	237	188	-49	74
洛	luo	8317	8394	77	1556
洞	dong	2991	2988	-3	9
洪	hong	432	431	-1	22
派	pai	12189	12222	33	482
流	liu	11933	11932	-1	14
浅	qian	703	708	5	20
测	ce	6709	6708	-1	1
浓	nong	752	789	37	73
浩	hao	463	459	-4	76
海	hai	15756	15751	-5	653
涡	wo	128	130	2	20
淋	lin	1241	1149	-92	92
淑	shu	411	404	-7	14
深	shen	8207	8118	-89	153
混	hun	14018	13983	-35	49
温	wen	4504	4502	-2	326
湖	hu	1572	1592	20	79
湮	yan	17	42	25	0
湾	wan	771	774	3	4
溜	liu	1727	1731	4	0
溢	yi	295	284	-11	11
滕	teng	70	40	-30	43
漂	piao	11709	11710	1	0
漪	yi	22	20	-2	2
潜	qian	2587	2589	2	0
潮	chao	1479	1454	-25	31
激	ji	10231	10223	-8	14
瀚	han	24	23	-1	16
火	huo	18405	18410	5	69
灭	mie	3521	3546	25	0
灵	ling	8425	8422	-3	50
炫	xuan	531	526	-5	5
炮	pao	1214	1222	8	8
炯	jiong	83	82	-1	1
点	dian	122021	127878	5857	147
烟	yan	5223	5243	20	42
烧	shao	5192	5106	-86	86
热	re	10645	10671	26	30
然	ran	91511	91512	1	2
煦	xu	9	5	-4	4
熊	xiong	2274	2287	13	19
熟	shu	3538	3412	-126	1021
熹	xi	5	1	-4	4
燧	sui	16	15	-1	1
燮	xie	62	49	-13	13
爆	bao	5563	5612	49	0
爪	zhao	51	99	48	245
爪	zhua	311	219	-92	245
爱	ai	64878	64868	-10	388
爷	ye	4409	4428	19	34
爽	shuang	2566	2564	-2	2
片	pian	21320	21349	29	82
牙	ya	6342	6363	21	2
牛	niu	6982	7011	29	32
物	wu	30016	29998	-18	81
特	te	42262	42246	-16	5979
犬	quan	1044	1055	11	0
狂	kuang	8951	8887	-64	64
狄	di	804	798	-6	214
狐	hu	611	612	1	14
狗	gou	13951	13971	20	7
玄	xuan	188	190	2	0
王	wang	9629	9503	-126	230
玛	ma	5029	5313	284	1285
玩	wan	28479	28964	485	0
玮	wei	1	0	-1	1
玺	xi	99	92	-7	8
珀	po	556	538	-18	123
珂	ke	38	30	-8	23
珉	min	84	71	-13	14
珍	zhen	2633	2631	-2	352
班	ban	10844	10843	-1	277
球	qiu	24275	24307	32	44
琛	chen	50	47	-3	6
琦	qi	79	71	-8	22
琪	qi	619	569	-50	118
琳	lin	2380	2483	103	700
瑙	nao	29	27	-2	2
瑛	ying	30	22	-8	9
瑜	yu	273	261	-12	12
瑞	rui	6324	6345	21	1592
瑾	jin	8	4	-4	10
璇	xuan	1	0	-1	1
璐	lu	23	19	-4	9
璜	huang	28	24	-4	4
璞	pu	20	18	-2	3
璧	bi	32	27	-5	5
瓜	gua	3309	3310	1	5
瓦	wa	2715	2714	-1	1007
瓶	ping	3289	3303	14	0
甘	gan	1075	1047	-28	166
生	sheng	162377	162340	-37	385
用	yong	79073	79086	13	213
甬	yong	8	7	-1	1
由	you	15729	15728	-1	5
甲	jia	2461	2460	-1	27
申	shen	2315	2311	-4	47
男	nan	30306	30310	4	6
画	hua	7859	7862	3	15
留	liu	21847	21846	-1	13
畜	chu	431	432	1	229
畜	xu	7	8	1	229
略	lve	1903	1897	-6	313
番	fan	384	867	483	271
疗	liao	6022	6024	2	7
疟	nve	67	65	-2	2
疯	feng	14752	14746	-6	6
疽	ju	94	115	21	0
病	bing	17990	17871	-119	161
症	zheng	4628	4599	-29	90
痛	tong	8963	8952	-11	11
痫	xian	239	238	-1	1
癣	xuan	17	26	9	0
登	deng	5110	5107	-3	349
白	bai	41751	41636	-115	351
百	bai	7263	7410	147	2059
的	de	1738866	1736990	-1876	12415
的	di	12797	12674	-123	12415
皇	huang	2672	2669	-3	7
皓	hao	14	11	-3	8
皮	pi	8575	8591	16	569
盆	pen	577	581	4	0
盐	yan	815	821	6	0
盒	he	2683	2684	1	22
盖	gai	3289	3385	96	1031
盛	sheng	2502	2501	-1	178
目	mu	22462	22460	-2	22
相	xiang	47807	47797	-10	59
省	sheng	2008	2020	12	12
真	zhen	140840	140845	5	83
眼	yan	19245	19246	1	1
着	zhe	106070	105737	-333	2833
睿	rui	91	87	-4	4
瞧	qiao	7797	7514	-283	286
知	zhi	211538	211504	-34	38
矮	ai	880	884	4	0
石	shi	5760	5825	65	1071
砖	zhuan	458	461	3	0
硕	shuo	261	258	-3	22
碌	lu	241	244	3	37
碧	bi	522	519	-3	55
磅	bang	1	27	26	1311
礼	li	14680	14681	1	88
神	shen	22066	22064	-2	13
祭	ji	255	250	-5	310
祯	zhen	5	3	-2	2
祺	qi	7	6	-1	1
禅	chan	93	94	1	47
福	fu	7516	7546	30	527
禧	xi	43	40	-3	3
种	zhong	42332	42371	39	26
科	ke	10841	10835	-6	1132
称	chen	451	444	-7	78
称	cheng	5655	5666	11	78
税	shui	1291	1293	2	8
稞	ke	3	1	-2	2
稠	chou	42	32	-10	10
稣	su	1515	1514	-1	3
穆	mu	743	784	41	208
空	kong	15360	15450	90	67
窥	kui	376	375	-1	1
窦	dou	63	58	-5	9
立	li	10064	10065	1	129
站	zhan	14307	14304	-3	26
章	zhang	3547	3537	-10	23
竹	zhu	371	370	-1	1
笃	du	46	42	-4	4
